code name number.respondants.2010 denominator.2010 outcome.2010 number.respondants.2011 denominator.2011 outcome.2011 number.respondants.2012 denominator.2012 outcome.2012 number.respondants.2013 denominator.2013 outcome.2013
102	Cumbria	0,4	375	19,5	0,3	540	19,3	0,3	450	19,6	0,3	445	19,6
104	Northumberland	0,4	375	18,4	0,3	490	19,3	0,3	490	19,1	0,3	445	19,6
106	Gateshead	0,4	275	19,1	0,4	290	19,0	0,4	345	18,9	0,3	410	19,2
107	Newcastle upon Tyne	0,4	355	18,9	0,4	380	19,4	0,3	460	19,2	0,4	385	19,3
108	North Tyneside	0,4	285	18,8	0,4	310	19,2	0,3	515	19,9	0,3	455	19,5
109	South Tyneside	0,5	265	18,6	0,4	295	19,2	0,5	265	19,0	0,4	300	19,2
110	Sunderland	0,4	280	19,0	0,3	360	19,2	0,4	360	19,1	0,3	490	19,6
111	Hartlepool	0,4	305	19,3	0,4	285	19,0	0,4	275	19,1	0,3	445	19,2
112	Middlesbrough	0,4	325	19,7	0,3	365	19,6	0,5	300	19,1	0,3	445	19,6
113	Redcar and Cleveland	0,4	315	18,5	0,4	380	18,7	0,4	365	18,7	0,4	370	18,7
114	Stockton-on-Tees	0,4	255	18,8	0,3	385	19,2	0,4	325	18,5	0,3	450	19,1
116	Durham	0,4	330	19,1	0,3	370	19,4	0,4	365	19,5	0,4	390	19,5
117	Darlington	0,4	215	19,2	0,5	195	19,4	0,4	315	18,6	0,4	295	19,0
204	Barnsley	0,4	365	18,9	0,6	370	18,8	0,4	290	19,0	0,5	330	19,0
205	Doncaster	0,4	310	19,5	0,4	400	18,7	0,4	335	19,2	0,4	350	18,5
206	Rotherham	0,4	370	19,1	0,3	555	19,1	0,3	345	19,2	0,3	350	19,4
207	Sheffield	0,4	470	18,3	0,3	410	18,6	0,5	465	18,4	0,4	365	18,5
209	Bradford	0,4	405	18,5	0,4	430	18,5	0,3	650	19,1	0,4	685	19,1
210	Calderdale	0,3	380	19,4	0,4	300	19,2	0,4	285	18,7	0,3	420	18,9
211	Kirklees	0,4	310	18,5	0,3	505	18,3	0,3	600	18,9	0,3	610	18,8
212	Leeds	0,4	360	18,9	0,4	365	18,4	0,4	450	19,2	0,3	440	18,8
213	Wakefield	0,4	365	19,1	0,3	445	18,6	0,4	375	18,7	0,4	370	19,0
214	East Riding of Yorkshire	0,4	275	19,4	0,4	245	19,4	0,5	240	19,2	0,2	795	19,4
215	Kingston upon Hull	0,3	390	19,2	0,4	465	18,7	0,4	400	19,4	0,4	365	19,3
216	North East Lincolnshire	0,5	265	18,9	0,6	225	18,3	0,5	225	18,8	0,4	315	19,2
217	North Lincolnshire	0,4	285	19,6	0,3	410	19,5	0,3	395	19,3	0,4	290	19,3
218	North Yorkshire	0,4	370	19,0	0,3	430	18,9	0,3	440	19,2	0,3	410	18,9
219	York	0,3	440	18,9	0,4	335	19,0	0,4	365	18,9	0,3	470	18,8
304	Bolton	0,3	560	19,0	0,4	385	18,3	0,3	745	18,4	0,4	575	18,6
305	Bury	0,3	355	19,3	0,3	315	20,1	0,4	325	19,5	0,4	340	19,1
306	Manchester	0,4	345	18,4	0,4	350	18,3	0,4	360	18,4	0,5	335	18,4
307	Oldham	0,4	460	18,1	0,5	230	18,5	0,3	465	19,0	0,4	290	19,6
308	Rochdale	0,4	350	18,6	0,4	335	18,8	0,5	290	18,2	0,3	470	18,7
309	Salford	0,3	655	18,6	0,3	505	18,5	0,4	480	18,4	0,2	1060	18,2
310	Stockport	0,4	375	18,3	0,4	305	18,6	0,4	325	18,7	0,4	380	18,9
311	Tameside	0,4	345	17,9	0,4	335	18,4	0,4	270	19,1	0,4	360	18,4
312	Trafford	0,4	345	18,1	0,4	325	18,6	0,4	335	19,2	0,4	345	18,9
313	Wigan	0,4	335	18,6	0,4	355	18,8	0,3	385	18,9	0,4	365	18,6
315	Knowsley	0,4	350	18,8	0,4	425	19,3	0,3	525	19,3	0,3	430	19,3
316	Liverpool	0,4	365	19,0	0,4	325	19,0	0,2	890	19,1	0,3	600	19,0
317	Sefton	0,4	345	19,4	0,3	430	19,2	0,4	350	19,2	0,4	360	19,0
318	St. Helens	0,4	320	19,3	0,4	330	19,0	0,4	370	19,1	0,4	290	19,4
319	Wirral	0,5	235	18,9	0,6	200	18,8	0,5	300	18,7	0,4	340	19,4
321	Halton	0,4	275	18,9	0,4	295	19,7	0,3	400	19,1	0,3	510	19,4
322	Warrington	0,4	425	18,5	0,4	340	18,6	0,4	335	19,0	0,4	335	19,3
323	Lancashire	0,4	395	19,2	0,4	315	19,2	0,4	425	19,0	0,4	375	19,1
324	Blackburn with Darwen	0,3	340	19,0	0,3	420	19,3	0,3	375	19,9	0,2	360	20,5
