"Table 7.1 Finished Admission Episodes with a primary diagnosis of obesity, by gender, 2000/01 to 2011/12",,,,,Back to contents,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
England,,,Numbers,,,,,,,,,,
,Total,Males,Females,,,,,,,,,,
,,,,,,,,,,,,,
2000/01,"1,054",309,741,,,,,,,,,,
2001/02,"1,019",284,731,,,,,,,,,,
2002/03,"1,275",427,848,,,,,,,,,,
2003/04,"1,711",498,"1,213",,,,,,,,,,
2004/05,"2,035",589,"1,442",,,,,,,,,,
2005/06,"2,564",746,"1,786",,,,,,,,,,
2006/07,"3,862","1,047","2,807",,,,,,,,,,
2007/08,"5,018","1,405","3,613",,,,,,,,,,
2008/09,"7,988","2,077","5,910",,,,,,,,,,
2009/10,"10,571","2,495","8,074",,,,,,,,,,
2010/11,"11,574","2,919","8,654",,,,,,,,,,
2011/12,"11,736","2,993","8,740",,,,,,,,,,
, ,,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,,,
2.  The primary diagnosis is the first of up to 20 (14 from 2002-03 to 2006-07 and 7 prior to 2002-03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital.,,,,,,,,,,,,,
3.  ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,,,
"5.  Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,,,
6. Total includes admissions where the gender was unknown.,,,,,,,,,,,,,
7. The quality and coverage of HES data have improved over time. These improvements in information submitted by the NHS have been particularly marked in the earlier years and need to be borne in mind when analysing time series. Some of the increase in figures for later years (particularly 2006-07 onwards) may be due to the improvement in the coverage of independent sector activity. Changes in NHS practice also need to be borne in mind when analysing time series.,,,,,,,,,,,,,
"8. Practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Use of this code may have contributed to the increase seen from this year. The data presented in this report are for inpatients only, so may not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. See Appendix A for further detail on HES.  ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.2 Finished Admission Episodes with a primary diagnosis of obesity, by age group, 2000/01 to 2011/12",,,,,,,,,,,Back to contents,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
England,,,,,,,,,Numbers,,,,
,Total,Under 16,16-24,25-34,35-44,45-54,55-64,65-74,75 and over,,,,
,,,,,,,,,,,,,
2000/01,"1,054",226,45,147,255,214,96,56,14,,,,
2001/02,"1,019",237,39,134,240,199,97,48,21,,,,
2002/03,"1,275",400,65,136,289,216,94,52,23,,,,
2003/04,"1,711",579,67,174,391,273,151,52,24,,,,
2004/05,"2,035",547,107,287,487,364,174,36,32,,,,
2005/06,"2,564",583,96,341,637,554,258,72,20,,,,
2006/07,"3,862",656,184,461,"1,069",872,459,118,43,,,,
2007/08,"5,018",747,228,564,"1,469","1,198",598,157,53,,,,
2008/09,"7,988",775,322,"1,013","2,359","2,133","1,099",221,63,,,,
2009/10,"10,571",632,361,"1,348","3,132","3,076","1,555",378,87,,,,
2010/11,"11,574",525,375,"1,425","3,277","3,573","1,820",456,115,,,,
2011/12,"11,736",495,391,"1,484","3,104","3,581","2,119",468,94,,,,
,,,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,,,
2.  The primary diagnosis is the first of up to 20 (14 from 2002-03 to 2006-07 and 7 prior to 2002-03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital.,,,,,,,,,,,,,
3.  ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,,,
"5.  Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,,,
6.  Total includes admissions where the age was unknown.,,,,,,,,,,,,,
7.  The quality and coverage of HES data have improved over time. These improvements in information submitted by the NHS have been particularly marked in the earlier years and need to be borne in mind when analysing time series. Some of the increase in figures for later years (particularly 2006-07 onwards) may be due to the improvement in the coverage of independent sector activity. Changes in NHS practice also need to be borne in mind when analysing time series.,,,,,,,,,,,,,
"8. Practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Use of this code may have contributed to the increase seen from this year. The data presented in this report are for inpatients only, so may not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. See Appendix A for further detail on HES.  ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.3 Finished Admission Episodes with a primary diagnosis of obesity, by Strategic Health Authority (SHA) of residence, Primary Care Trust (PCT) of residence and gender, 2011/12",,,,,,,,,,,Back to contents,,
