OrganisationID	OrganisationCode	OrganisationName	MetricName	Value	Text,
979012	00AB	London Borough of Barking and Dagenham	Carer satisfaction	45.7%	45.7% of carers are satisfied with their care and support Around average,
979012	00AB	London Borough of Barking and Dagenham	Carer's quality of life	7.6	7.6 out of 12 Around average,
979012	00AB	London Borough of Barking and Dagenham	Permanent admissions to care homes: younger adults	9.4	9.4 admissions per 100,000 younger adults In the middle 60%
979012	00AB	London Borough of Barking and Dagenham	The proportion of people aged 65 and over who use social care services who feel safe	73.20%	Above average - 73.20%% of users of social care services felt safe,
979012	00AB	London Borough of Barking and Dagenham	User satisfaction	65	65 of users are satisfied with their care and support Around average,
979012	00AB	London Borough of Barking and Dagenham	Users' quality of life	19.2	19.2 out of 24 Average,
979013	00AC	London Borough of Barnet	Carer satisfaction	34.6%	34.6% of carers are satisfied with their care and support Below average,
979013	00AC	London Borough of Barnet	Carer's quality of life	7.7	7.7 out of 12 Below average,
979013	00AC	London Borough of Barnet	Permanent admissions to care homes: younger adults	13.4	13.4 admissions per 100,000 younger adults In the middle 60%
979013	00AC	London Borough of Barnet	The proportion of people aged 65 and over who use social care services who feel safe	65.20%	Around average - 65.20%% of users of social care services felt safe,
979013	00AC	London Borough of Barnet	User satisfaction	61.8	61.8 of users are satisfied with their care and support Around average,
979013	00AC	London Borough of Barnet	Users' quality of life	18.7	18.7 out of 24 Average,
979014	00CC	Barnsley Metropolitan Borough Council	Carer satisfaction	46.6%	46.6% of carers are satisfied with their care and support Around average,
979014	00CC	Barnsley Metropolitan Borough Council	Carer's quality of life	8.3	8.3 out of 12 Around average,
979014	00CC	Barnsley Metropolitan Borough Council	Permanent admissions to care homes: younger adults	12.5	12.5 admissions per 100,000 younger adults In the middle 60%
979014	00CC	Barnsley Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	70.60%	Around average - 70.60%% of users of social care services felt safe,
979014	00CC	Barnsley Metropolitan Borough Council	User satisfaction	65.4	65.4 of users are satisfied with their care and support Around average,
979014	00CC	Barnsley Metropolitan Borough Council	Users' quality of life	19	19 out of 24 Average,
979018	00HA	Bath and North East Somerset Council	Carer satisfaction	47.6%	47.6% of carers are satisfied with their care and support Around average,
979018	00HA	Bath and North East Somerset Council	Carer's quality of life	8.5	8.5 out of 12 Above average,
979018	00HA	Bath and North East Somerset Council	Permanent admissions to care homes: younger adults	19.7	19.7 admissions per 100,000 younger adults In the highest 20%
979018	00HA	Bath and North East Somerset Council	The proportion of people aged 65 and over who use social care services who feel safe	70.40%	Above average - 70.40%% of users of social care services felt safe,
979018	00HA	Bath and North East Somerset Council	User satisfaction	65.9	65.9 of users are satisfied with their care and support Around average,
979018	00HA	Bath and North East Somerset Council	Users' quality of life	19.3	19.3 out of 24 Average,
979019	00KB	Bedford Council (Unitary)	Carer satisfaction	41.8%	41.8% of carers are satisfied with their care and support Around average,
979019	00KB	Bedford Council (Unitary)	Carer's quality of life	8.2	8.2 out of 12 Around average,
979019	00KB	Bedford Council (Unitary)	Permanent admissions to care homes: younger adults	7.2	7.2 admissions per 100,000 younger adults In the lowest 20%
979019	00KB	Bedford Council (Unitary)	The proportion of people aged 65 and over who use social care services who feel safe	64.70%	Around average - 64.70%% of users of social care services felt safe,
