"Local.authority" "Usual.residents.2011" "Sex.ratio.2011" "Median.age.2011" "Percentage.change.in.usual.residents.2011" "Percentage.of.population.aged.0.4.2011" "Percentage.of.population.aged.0.14.2011" "Percentage.of.population.aged.15.64.2011" "Percentage.of.population.aged.65.and.over.2011" "Percentage.of.population.aged.90.and.over.2011" "Percentage.change.in.households.2011" "Average.household.size..persons..2011" "Population.density..km2..2011"
"Hartlepool UA" "92,028" 94.7 40 2 6.2 18 65.1 16.9 0.6 6.4 2.3 "980"
"Middlesbrough UA" "138,412" 95.8 37 -2 6.8 18.9 66.1 14.9 0.6 0.4 2.4 "2,569"
"Redcar and Cleveland UA" "135,177" 94.4 43 -2.9 5.6 16.6 64 19.4 0.7 2.8 2.2 "552"
"Stockton-on-Tees UA" "191,610" 96.5 39 4.2 6.4 18.1 66.2 15.6 0.5 5.5 2.4 "940"
"Darlington UA" "105,564" 95.2 41 7.8 6.2 17.9 64.7 17.5 0.8 11.1 2.2 "535"
"County Durham UA" "513,242" 95.9 42 4 5.6 16 66 18 0.7 8.1 2.2 "231"
"Northumberland UA" "316,028" 95.2 45 2.8 5.1 15.8 64.1 20 0.9 5.8 2.2 "63"
"Gateshead" "200,214" 95.8 40 4.7 5.9 16.5 65.9 17.6 0.7 6.1 2.2 "1,406"
"Newcastle upon Tyne" "280,177" 100.2 33 5.3 5.9 16.1 70.1 13.8 0.7 2.8 2.3 "2,470"
"North Tyneside" "200,801" 93.2 41 4.6 5.8 16.6 65.8 17.6 0.8 7.4 2.2 "2,438"
"South Tyneside" "148,127" 93.5 42 -3.1 5.5 16.2 65.7 18.1 0.7 1.8 2.2 "2,300"
"Sunderland" "275,506" 94.6 41 -3.2 5.6 16.3 66.7 17 0.6 1.5 2.3 "2,004"
"Halton UA" "125,746" 95.3 39 6 6.6 18.5 66.8 14.7 0.5 11.1 2.3 "1,590"
"Warrington UA" "202,228" 98.4 40 5.8 6.1 17.9 66.2 15.9 0.6 9.2 2.3 "1,119"
"Blackburn with Darwen UA" "147,489" 99.5 35 6.5 7.6 21.7 65.3 12.9 0.5 8.2 2.5 "1,076"
"Blackpool UA" "142,065" 96.5 42 -0.2 5.8 16.7 64.1 19.2 0.9 0.6 2.1 "4,076"
"Cheshire East UA" "370,127" 96.1 43 5.1 5.5 16.6 64.1 19.3 0.9 8.5 2.3 "317"
"Chester" "329,608" 95 42 2.3 5.5 16.5 65 18.5 0.8 6.3 2.3 "360"
"Allerdale" "96,422" 96.6 45 3.1 5.1 15.7 63.6 20.8 0.9 5.9 2.2 "78"
"Barrow-in-Furness" "69,087" 97.9 42 -4 5.4 16.5 64.8 18.8 0.9 0.7 2.2 "886"
"Carlisle" "107,524" 95.3 42 6.7 5.6 16.1 65.4 18.5 0.8 9.9 2.2 "103"
"Copeland" "70,603" 101 44 1.9 5.2 15.8 65.3 18.9 0.7 5.3 2.3 "96"
"Eden" "52,564" 98.1 46 5.3 4.5 15.1 63 21.9 0.9 9.7 2.2 "25"
"South Lakeland" "103,658" 95.1 48 1.2 4.3 14.1 61.6 24.2 1.2 5.8 2.2 "68"
"Burnley" "87,059" 96.7 39 -2.7 6.7 18.4 65.3 16.2 0.8 1.5 2.3 "787"
"Chorley" "107,155" 100.5 41 6.5 5.8 17 66.2 16.8 0.7 9.6 2.3 "528"
"Fylde" "75,757" 94.4 47 3.4 4.8 14.8 61 24.2 1.2 9 2.1 "457"
"Hyndburn" "80,734" 98.1 39 -0.9 6.7 19.2 65 15.9 0.6 4.1 2.3 "1,106"
"Lancaster" "138,375" 93.4 40 3.3 5.2 15.5 66.2 18.3 0.9 3.3 2.2 "240"
"Pendle" "89,452" 96.9 39 0.2 7.1 19.2 64.7 16 0.7 3.7 2.4 "528"
"Preston" "140,202" 100.5 35 7.5 6.6 18 68.3 13.7 0.6 8.6 2.3 "985"
