"Location" "Year" "BaseLinePerHead" "TotalGranted" "Current.LA.code" "Local.authority" "County"
"Hartlepool" "2013/14" 87 8255000 "E06000001" "Hartlepool UA" "Durham"
"Middlesbrough" "2013/14" 111 15932000 "E06000002" "Middlesbrough UA" "North Yorkshire"
"Redcar and Cleveland" "2013/14" 76 10620000 "E06000003" "Redcar and Cleveland UA" "North Yorkshire"
"Stockton-on-Tees" "2013/14" 63 12711000 "E06000004" "Stockton-on-Tees UA" "Durham"
"Darlington" "2013/14" 64 6989000 "E06000005" "Darlington UA" "Durham"
"Durham" "2013/14" 83 44533000 "E06000047" "County Durham UA" "Durham"
"Northumberland" "2013/14" 40 13043000 "E06000048" "Northumberland UA" "Northumberland"
"Gateshead" "2013/14" 74 15401000 "E08000020" "Gateshead" "Tyne and Wear"
"Newcastle upon Tyne" "2013/14" 71 20721000 "E08000021" "Newcastle upon Tyne" "Tyne and Wear"
"North Tyneside" "2013/14" 48 10417000 "E08000022" "North Tyneside" "Tyne and Wear"
"South Tyneside" "2013/14" 82 12565000 "E08000023" "South Tyneside" "Tyne and Wear"
"Sunderland" "2013/14" 73 20656000 "E08000024" "Sunderland" "Tyne and Wear"
"Halton" "2013/14" 65 8510000 "E06000006" "Halton UA" "Cheshire"
"Warrington" "2013/14" 44 10052000 "E06000007" "Warrington UA" "Cheshire"
"Blackburn with Darwen" "2013/14" 84 12776000 "E06000008" "Blackburn with Darwen UA" "Lancashire"
"Blackpool" "2013/14" 119 17457000 "E06000009" "Blackpool UA" "Lancashire"
"Cheshire East" "2013/14" 35 13762000 "E06000049" "Cheshire East UA" "Cheshire"
"Cheshire West and Chester" "2013/14" 37 13371000 "E06000050" "Chester" "Cheshire"
"Bolton" "2013/14" 59 18115000 "E08000001" "Bolton" "Greater Manchester"
"Bury" "2013/14" 44 9147000 "E08000002" "Bury" "Greater Manchester"
"Manchester" "2013/14" 71 40105000 "E08000003" "Manchester" "Greater Manchester"
"Oldham" "2013/14" 54 13559000 "E08000004" "Oldham" "Greater Manchester"
"Rochdale" "2013/14" 64 14256000 "E08000005" "Rochdale" "Greater Manchester"
"Salford" "2013/14" 64 17075000 "E08000006" "Salford" "Greater Manchester"
"Stockport" "2013/14" 41 12360000 "E08000007" "Stockport" "Greater Manchester"
"Tameside" "2013/14" 47 11454000 "E08000008" "Tameside" "Greater Manchester"
"Trafford" "2013/14" 43 10171000 "E08000009" "Trafford" "Greater Manchester"
"Wigan" "2013/14" 70 23020000 "E08000010" "Wigan" "Greater Manchester"
"Knowsley" "2013/14" 106 15929000 "E08000011" "Knowsley" "Merseyside"
"Liverpool" "2013/14" 84 40308000 "E08000012" "Liverpool" "Merseyside"
"St. Helens" "2013/14" 70 12680000 "E08000013" "St. Helens" "Merseyside"
"Sefton" "2013/14" 69 19408000 "E08000014" "Sefton" "Merseyside"
"Wirral" "2013/14" 78 25720000 "E08000015" "Wirral" "Merseyside"
"Cumbria" "2013/14" 26 2362666.66666667 "E07000026" "Allerdale" "Cumbria"
"Cumbria" "2013/14" 26 2362666.66666667 "E07000027" "Barrow-in-Furness" "Cumbria"
"Cumbria" "2013/14" 26 2362666.66666667 "E07000028" "Carlisle" "Cumbria"
"Cumbria" "2013/14" 26 2362666.66666667 "E07000029" "Copeland" "Cumbria"
"Cumbria" "2013/14" 26 2362666.66666667 "E07000030" "Eden" "Cumbria"
"Cumbria" "2013/14" 26 2362666.66666667 "E07000031" "South Lakeland" "Cumbria"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000117" "Burnley" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000118" "Chorley" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000119" "Fylde" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000120" "Hyndburn" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000121" "Lancaster" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000122" "Pendle" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000123" "Preston" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000124" "Ribble Valley" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000125" "Rossendale" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000126" "South Ribble" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000127" "West Lancashire" "Lancashire"
"Lancashire" "2013/14" 48 4832583.33333333 "E07000128" "Wyre" "Lancashire"
"Kingston upon Hull" "2013/14" 83 21945000 "E06000010" "Kingston upon Hull, City of UA" "East Riding of Yorkshire"
"East Riding of Yorkshire" "2013/14" 22 8341000 "E06000011" "East Riding of Yorkshire UA" "East Riding of Yorkshire"
"North East Lincolnshire" "2013/14" 59 9700000 "E06000012" "North East Lincolnshire UA" "Lincolnshire"
"North Lincolnshire" "2013/14" 46 8071000 "E06000013" "North Lincolnshire UA" "Lincolnshire"
"York" "2013/14" 30 6641000 "E06000014" "York UA" "North Yorkshire"
"Barnsley" "2013/14" 55 13571000 "E08000016" "Barnsley" "South Yorkshire"
"Doncaster" "2013/14" 63 19648000 "E08000017" "Doncaster" "South Yorkshire"
"Rotherham" "2013/14" 52 13790000 "E08000018" "Rotherham" "South Yorkshire"
"Sheffield" "2013/14" 51 29665000 "E08000019" "Sheffield" "South Yorkshire"
"Bradford" "2013/14" 54 31545000 "E08000032" "Bradford" "West Yorkshire"
"Calderdale" "2013/14" 43 9829000 "E08000033" "Calderdale" "West Yorkshire"
"Kirklees" "2013/14" 49 22603000 "E08000034" "Kirklees" "West Yorkshire"
"Leeds" "2013/14" 43 36855000 "E08000035" "Leeds" "West Yorkshire"
"Wakefield" "2013/14" 59 20230000 "E08000036" "Wakefield" "West Yorkshire"
"North Yorkshire" "2013/14" 29 2717285.71428571 "E07000163" "Craven" "North Yorkshire"
"North Yorkshire" "2013/14" 29 2717285.71428571 "E07000164" "Hambleton" "North Yorkshire"
"North Yorkshire" "2013/14" 29 2717285.71428571 "E07000165" "Harrogate" "North Yorkshire"
"North Yorkshire" "2013/14" 29 2717285.71428571 "E07000166" "Richmondshire" "North Yorkshire"
"North Yorkshire" "2013/14" 29 2717285.71428571 "E07000167" "Ryedale" "North Yorkshire"
"North Yorkshire" "2013/14" 29 2717285.71428571 "E07000168" "Scarborough" "North Yorkshire"
"North Yorkshire" "2013/14" 29 2717285.71428571 "E07000169" "Selby" "North Yorkshire"
"Derby" "2013/14" 47 13167000 "E06000015" "Derby UA" "Derbyshire"
"Leicester" "2013/14" 55 19995000 "E06000016" "Leicester UA" "Leicestershire"
"Rutland" "2013/14" 26 1044000 "E06000017" "Rutland UA" "Rutland"
"Nottingham" "2013/14" 85 27081000 "E06000018" "Nottingham UA" "Nottinghamshire"
"Derbyshire" "2013/14" 43 4335000 "E07000032" "Amber Valley" "Derbyshire"
"Derbyshire" "2013/14" 43 4335000 "E07000033" "Bolsover" "Derbyshire"
"Derbyshire" "2013/14" 43 4335000 "E07000034" "Chesterfield" "Derbyshire"
"Derbyshire" "2013/14" 43 4335000 "E07000035" "Derbyshire Dales" "Derbyshire"
"Derbyshire" "2013/14" 43 4335000 "E07000036" "Erewash" "Derbyshire"
"Derbyshire" "2013/14" 43 4335000 "E07000037" "High Peak" "Derbyshire"
"Derbyshire" "2013/14" 43 4335000 "E07000038" "North East Derbyshire" "Derbyshire"
"Derbyshire" "2013/14" 43 4335000 "E07000039" "South Derbyshire" "Derbyshire"
"Leicestershire" "2013/14" 28 2886571.42857143 "E07000129" "Blaby" "Leicestershire"
"Leicestershire" "2013/14" 28 2886571.42857143 "E07000130" "Charnwood" "Leicestershire"
"Leicestershire" "2013/14" 28 2886571.42857143 "E07000131" "Harborough" "Leicestershire"
"Leicestershire" "2013/14" 28 2886571.42857143 "E07000132" "Hinckley and Bosworth" "Leicestershire"
"Leicestershire" "2013/14" 28 2886571.42857143 "E07000133" "Melton" "Leicestershire"
"Leicestershire" "2013/14" 28 2886571.42857143 "E07000134" "North West Leicestershire" "Leicestershire"
"Leicestershire" "2013/14" 28 2886571.42857143 "E07000135" "Oadby and Wigston" "Leicestershire"
"Lincolnshire" "2013/14" 36 3934571.42857143 "E07000136" "Boston" "Lincolnshire"
"Lincolnshire" "2013/14" 36 3934571.42857143 "E07000137" "East Lindsey" "Lincolnshire"
"Lincolnshire" "2013/14" 36 3934571.42857143 "E07000138" "Lincoln" "Lincolnshire"
"Lincolnshire" "2013/14" 36 3934571.42857143 "E07000139" "North Kesteven" "Lincolnshire"
"Lincolnshire" "2013/14" 36 3934571.42857143 "E07000140" "South Holland" "Lincolnshire"
"Lincolnshire" "2013/14" 36 3934571.42857143 "E07000141" "South Kesteven" "Lincolnshire"
"Lincolnshire" "2013/14" 36 3934571.42857143 "E07000142" "West Lindsey" "Lincolnshire"
"Northamptonshire" "2013/14" 34 3834142.85714286 "E07000150" "Corby" "Northamptonshire"
"Northamptonshire" "2013/14" 34 3834142.85714286 "E07000151" "Daventry" "Northamptonshire"
"Northamptonshire" "2013/14" 34 3834142.85714286 "E07000152" "East Northamptonshire" "Northamptonshire"
"Northamptonshire" "2013/14" 34 3834142.85714286 "E07000153" "Kettering" "Northamptonshire"
"Northamptonshire" "2013/14" 34 3834142.85714286 "E07000154" "Northampton" "Northamptonshire"
"Northamptonshire" "2013/14" 34 3834142.85714286 "E07000155" "South Northamptonshire" "Northamptonshire"
"Northamptonshire" "2013/14" 34 3834142.85714286 "E07000156" "Wellingborough" "Northamptonshire"
"Nottinghamshire" "2013/14" 43 5019285.71428571 "E07000170" "Ashfield" "Nottinghamshire"
"Nottinghamshire" "2013/14" 43 5019285.71428571 "E07000171" "Bassetlaw" "Nottinghamshire"
"Nottinghamshire" "2013/14" 43 5019285.71428571 "E07000172" "Broxtowe" "Nottinghamshire"
"Nottinghamshire" "2013/14" 43 5019285.71428571 "E07000173" "Gedling" "Nottinghamshire"
"Nottinghamshire" "2013/14" 43 5019285.71428571 "E07000174" "Mansfield" "Nottinghamshire"
"Nottinghamshire" "2013/14" 43 5019285.71428571 "E07000175" "Newark and Sherwood" "Nottinghamshire"
"Nottinghamshire" "2013/14" 43 5019285.71428571 "E07000176" "Rushcliffe" "Nottinghamshire"
"Herefordshire" "2013/14" 40 7753000 "E06000019" "Herefordshire, County of UA" "Hereforshire"
"Telford and the Wrekin" "2013/14" 61 10616000 "E06000020" "Telford and Wrekin UA" "Shropshire"
"Stoke-on-Trent" "2013/14" 76 19690000 "E06000021" "Stoke-on-Trent UA" "Staffordshire"
"Shropshire" "2013/14" 26 8948000 "E06000051" "Shropshire UA" "Shropshire"
"Birmingham" "2013/14" 70 78636000 "E08000025" "Birmingham" "West Midlands"
"Coventry" "2013/14" 49 17832000 "E08000026" "Coventry" "West Midlands"
"Dudley" "2013/14" 57 18457000 "E08000027" "Dudley" "West Midlands"
"Sandwell" "2013/14" 60 20816000 "E08000028" "Sandwell" "West Midlands"
"Solihull" "2013/14" 45 9635000 "E08000029" "Solihull" "West Midlands"
"Walsall" "2013/14" 50 14984000 "E08000030" "Walsall" "West Midlands"
"Wolverhampton" "2013/14" 72 18770000 "E08000031" "Wolverhampton" "West Midlands"
"Staffordshire" "2013/14" 36 4040250 "E07000192" "Cannock Chase" "Staffordshire"
"Staffordshire" "2013/14" 36 4040250 "E07000193" "East Staffordshire" "Staffordshire"
"Staffordshire" "2013/14" 36 4040250 "E07000194" "Lichfield" "Staffordshire"
"Staffordshire" "2013/14" 36 4040250 "E07000195" "Newcastle-under-Lyme" "Staffordshire"
"Staffordshire" "2013/14" 36 4040250 "E07000196" "South Staffordshire" "Staffordshire"
"Staffordshire" "2013/14" 36 4040250 "E07000197" "Stafford" "Staffordshire"
"Staffordshire" "2013/14" 36 4040250 "E07000198" "Staffordshire Moorlands" "Staffordshire"
"Staffordshire" "2013/14" 36 4040250 "E07000199" "Tamworth" "Staffordshire"
"Warwickshire" "2013/14" 37 4243200 "E07000218" "North Warwickshire" "Warwickshire"
"Warwickshire" "2013/14" 37 4243200 "E07000219" "Nuneaton and Bedworth" "Warwickshire"
"Warwickshire" "2013/14" 37 4243200 "E07000220" "Rugby" "Warwickshire"
"Warwickshire" "2013/14" 37 4243200 "E07000221" "Stratford-on-Avon" "Warwickshire"
"Warwickshire" "2013/14" 37 4243200 "E07000222" "Warwick" "Warwickshire"
"Worcestershire" "2013/14" 44 4301000 "E07000234" "Bromsgrove" "Worcestershire"
"Worcestershire" "2013/14" 44 4301000 "E07000235" "Malvern Hills" "Worcestershire"
"Worcestershire" "2013/14" 44 4301000 "E07000236" "Redditch" "Worcestershire"
"Worcestershire" "2013/14" 44 4301000 "E07000237" "Worcester" "Worcestershire"
"Worcestershire" "2013/14" 44 4301000 "E07000238" "Wychavon" "Worcestershire"
"Worcestershire" "2013/14" 44 4301000 "E07000239" "Wyre Forest" "Worcestershire"
"Peterborough" "2013/14" 41 8446000 "E06000031" "Peterborough UA" "Cambridgeshire"
"Luton" "2013/14" 51 11877000 "E06000032" "Luton UA" "Bedforshire"
"Southend-on-Sea" "2013/14" 38 7327000 "E06000033" "Southend-on-Sea UA" "Essex"
"Thurrock" "2013/14" 44 7417000 "E06000034" "Thurrock UA" "Essex"
"Bedford" "2013/14" 38 6676000 "E06000055" "Bedford UA" "Bedforshire"
"Central Bedfordshire" "2013/14" 37 9873000 "E06000056" "Central Bedfordshire UA" "Bedforshire"
"Cambridgeshire" "2013/14" 31 4246000 "E07000008" "Cambridge" "Cambridgeshire"
"Cambridgeshire" "2013/14" 31 4246000 "E07000009" "East Cambridgeshire" "Cambridgeshire"
"Cambridgeshire" "2013/14" 31 4246000 "E07000010" "Fenland" "Cambridgeshire"
"Cambridgeshire" "2013/14" 31 4246000 "E07000011" "Huntingdonshire" "Cambridgeshire"
"Cambridgeshire" "2013/14" 31 4246000 "E07000012" "South Cambridgeshire" "Cambridgeshire"
"Essex" "2013/14" 33 4072833.33333333 "E07000066" "Basildon" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000067" "Braintree" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000068" "Brentwood" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000069" "Castle Point" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000070" "Chelmsford" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000071" "Colchester" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000072" "Epping Forest" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000073" "Harlow" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000074" "Maldon" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000075" "Rochford" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000076" "Tendring" "Essex"
"Essex" "2013/14" 33 4072833.33333333 "E07000077" "Uttlesford" "Essex"
"Hertfordshire" "2013/14" 27 3422000 "E07000095" "Broxbourne" "Hertfordshire"
"Hertfordshire" "2013/14" 27 3422000 "E07000096" "Dacorum" "Hertfordshire"
"Hertfordshire" "2013/14" 27 3422000 "E07000097" "East Hertfordshire" "Hertfordshire"
"Hertfordshire" "2013/14" 27 3422000 "E07000098" "Hertsmere" "Hertfordshire"
"Hertfordshire" "2013/14" 27 3422000 "E07000099" "North Hertfordshire" "Hertfordshire"
"Hertfordshire" "2013/14" 27 3422000 "E07000100" "St Albans" "Hertfordshire"
"Hertfordshire" "2013/14" 27 3422000 "E07000101" "Stevenage" "Hertfordshire"
"Hertfordshire" "2013/14" 27 3422000 "E07000102" "Three Rivers" "Hertfordshire"
"Hertfordshire" "2013/14" 27 3422000 "E07000103" "Watford" "Hertfordshire"
"Hertfordshire" "2013/14" 27 3422000 "E07000104" "Welwyn Hatfield" "Hertfordshire"
"Norfolk" "2013/14" 33 4256857.14285714 "E07000143" "Breckland" "Norfolk"
"Norfolk" "2013/14" 33 4256857.14285714 "E07000144" "Broadland" "Norfolk"
"Norfolk" "2013/14" 33 4256857.14285714 "E07000145" "Great Yarmouth" "Norfolk"
"Norfolk" "2013/14" 33 4256857.14285714 "E07000146" "King’s Lynn and West Norfolk" "Norfolk"
"Norfolk" "2013/14" 33 4256857.14285714 "E07000147" "North Norfolk" "Norfolk"
"Norfolk" "2013/14" 33 4256857.14285714 "E07000148" "Norwich" "Norfolk"
"Norfolk" "2013/14" 33 4256857.14285714 "E07000149" "South Norfolk" "Norfolk"
"Suffolk" "2013/14" 34 3653142.85714286 "E07000200" "Babergh" "Suffolk"
