"Local.authority" "Usual.residents.2011" "Sex.ratio.2011" "Median.age.2011" "Percentage.change.in.usual.residents.2011" "Percentage.of.population.aged.0.4.2011" "Percentage.of.population.aged.0.14.2011" "Percentage.of.population.aged.15.64.2011" "Percentage.of.population.aged.65.and.over.2011" "Percentage.of.population.aged.90.and.over.2011" "Percentage.change.in.households.2011" "Average.household.size..persons..2011" "Population.density..km2..2011" "county" "Homes" "Agencies" "Hospitals"
"Hartlepool UA" "92,028" 94.7 40 2 6.2 18 65.1 16.9 0.6 6.4 2.3 "980" "Hartlepool" 35 14 3
"Middlesbrough UA" "138,412" 95.8 37 -2 6.8 18.9 66.1 14.9 0.6 0.4 2.4 "2,569" "Middlesbrough" 51 25 4
"Redcar and Cleveland UA" "135,177" 94.4 43 -2.9 5.6 16.6 64 19.4 0.7 2.8 2.2 "552" "Redcar and Cleveland" 60 12 5
"Stockton-on-Tees UA" "191,610" 96.5 39 4.2 6.4 18.1 66.2 15.6 0.5 5.5 2.4 "940" "Stockton-on-Tees" 63 25 6
"Darlington UA" "105,564" 95.2 41 7.8 6.2 17.9 64.7 17.5 0.8 11.1 2.2 "535" "Darlington" 41 23 7
"County Durham UA" "513,242" 95.9 42 4 5.6 16 66 18 0.7 8.1 2.2 "231" "Durham" 173 56 13
"Northumberland UA" "316,028" 95.2 45 2.8 5.1 15.8 64.1 20 0.9 5.8 2.2 "63" "Northumberland" 136 34 11
"Gateshead" "200,214" 95.8 40 4.7 5.9 16.5 65.9 17.6 0.7 6.1 2.2 "1,406" "Gateshead" 78 27 3
"Newcastle upon Tyne" "280,177" 100.2 33 5.3 5.9 16.1 70.1 13.8 0.7 2.8 2.3 "2,470" "Newcastle upon Tyne" 84 39 11
"North Tyneside" "200,801" 93.2 41 4.6 5.8 16.6 65.8 17.6 0.8 7.4 2.2 "2,438" "North Tyneside" 64 23 3
"South Tyneside" "148,127" 93.5 42 -3.1 5.5 16.2 65.7 18.1 0.7 1.8 2.2 "2,300" "South Tyneside" 47 12 5
"Sunderland" "275,506" 94.6 41 -3.2 5.6 16.3 66.7 17 0.6 1.5 2.3 "2,004" "Sunderland" 125 36 10
"Halton UA" "125,746" 95.3 39 6 6.6 18.5 66.8 14.7 0.5 11.1 2.3 "1,590" "Halton" 35 15 3
