CASSR Code,CASSR Name,Current LA code,Local authority,County,,,,,,,,,
102,Cumbria,E07000026,Allerdale,Cumbria,,,,,,,,,
102,Cumbria,E07000027,Barrow-in-Furness,Cumbria,,,,,,,,,
102,Cumbria,E07000028,Carlisle,Cumbria,,,,,,,,,
102,Cumbria,E07000029,Copeland,Cumbria,,,,,,,,,
102,Cumbria,E07000030,Eden,Cumbria,,,,,,,,,
102,Cumbria,E07000031,South Lakeland,Cumbria,,,,,,,,,
104,Northumberland,E06000048,Northumberland UA,Northumberland,,,,,,,,,
106,Gateshead,E08000020,Gateshead,Tyne and Wear,,,,,,,,,
107,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,Tyne and Wear,,,,,,,,,
108,North Tyneside,E08000022,North Tyneside,Tyne and Wear,,,,,,,,,
109,South Tyneside,E08000023,South Tyneside,Tyne and Wear,,,,,,,,,
110,Sunderland,E08000024,Sunderland,Tyne and Wear,,,,,,,,,
111,Hartlepool,E06000001,Hartlepool UA,Durham,,,,,,,,,
112,Middlesbrough,E06000002,Middlesbrough UA,North Yorkshire,,,,,,,,,
113,Redcar and Cleveland,E06000003,Redcar and Cleveland UA,North Yorkshire,,,,,,,,,
114,Stockton-on-Tees,E06000004,Stockton-on-Tees UA,Durham,,,,,,,,,
116,Durham,E06000047,County Durham UA,Durham,,,,,,,,,
117,Darlington,E06000005,Darlington UA,Durham,,,,,,,,,
204,Barnsley,E08000016,Barnsley,South Yorkshire,,,,,,,,,
205,Doncaster,E08000017,Doncaster,South Yorkshire,,,,,,,,,
206,Rotherham,E08000018,Rotherham,South Yorkshire,,,,,,,,,
207,Sheffield,E08000019,Sheffield,South Yorkshire,,,,,,,,,
209,Bradford,E08000032,Bradford,West Yorkshire,,,,,,,,,
210,Calderdale,E08000033,Calderdale,West Yorkshire,,,,,,,,,
211,Kirklees,E08000034,Kirklees,West Yorkshire,,,,,,,,,
212,Leeds,E08000035,Leeds,West Yorkshire,,,,,,,,,
213,Wakefield,E08000036,Wakefield,West Yorkshire,,,,,,,,,
214,East Riding of Yorkshire,E06000011,East Riding of Yorkshire UA,East Riding of Yorkshire,,,,,,,,,
215,Kingston upon Hull,E06000010,"Kingston upon Hull, City of UA",East Riding of Yorkshire,,,,,,,,,
216,North East Lincolnshire,E06000012,North East Lincolnshire UA,Lincolnshire,,,,,,,,,
217,North Lincolnshire,E06000013,North Lincolnshire UA,Lincolnshire,,,,,,,,,
218,North Yorkshire,E07000163,Craven,North Yorkshire,,,,,,,,,
218,North Yorkshire,E07000164,Hambleton,North Yorkshire,,,,,,,,,
218,North Yorkshire,E07000165,Harrogate,North Yorkshire,,,,,,,,,
218,North Yorkshire,E07000166,Richmondshire,North Yorkshire,,,,,,,,,
218,North Yorkshire,E07000167,Ryedale,North Yorkshire,,,,,,,,,
218,North Yorkshire,E07000168,Scarborough,North Yorkshire,,,,,,,,,
218,North Yorkshire,E07000169,Selby,North Yorkshire,,,,,,,,,
219,York,E06000014,York UA,North Yorkshire,,,,,,,,,
304,Bolton,E08000001,Bolton,Greater Manchester,,,,,,,,,
305,Bury,E08000002,Bury,Greater Manchester,,,,,,,,,
306,Manchester,E08000003,Manchester,Greater Manchester,,,,,,,,,
307,Oldham,E08000004,Oldham,Greater Manchester,,,,,,,,,
308,Rochdale,E08000005,Rochdale,Greater Manchester,,,,,,,,,
309,Salford,E08000006,Salford,Greater Manchester,,,,,,,,,
310,Stockport,E08000007,Stockport,Greater Manchester,,,,,,,,,
311,Tameside,E08000008,Tameside,Greater Manchester,,,,,,,,,
312,Trafford,E08000009,Trafford,Greater Manchester,,,,,,,,,
313,Wigan,E08000010,Wigan,Greater Manchester,,,,,,,,,
315,Knowsley,E08000011,Knowsley,Merseyside,,,,,,,,,
316,Liverpool,E08000012,Liverpool,Merseyside,,,,,,,,,
317,Sefton,E08000014,Sefton,Merseyside,,,,,,,,,
318,St. Helens,E08000013,St. Helens,Merseyside,,,,,,,,,
319,Wirral,E08000015,Wirral,Merseyside,,,,,,,,,
321,Halton,E06000006,Halton UA,Cheshire,,,,,,,,,
322,Warrington,E06000007,Warrington UA,Cheshire,,,,,,,,,
323,Lancashire,E07000117,Burnley,Lancashire,,,,,,,,,
323,Lancashire,E07000118,Chorley,Lancashire,,,,,,,,,
323,Lancashire,E07000119,Fylde,Lancashire,,,,,,,,,
323,Lancashire,E07000120,Hyndburn,Lancashire,,,,,,,,,
323,Lancashire,E07000121,Lancaster,Lancashire,,,,,,,,,
323,Lancashire,E07000122,Pendle,Lancashire,,,,,,,,,
323,Lancashire,E07000123,Preston,Lancashire,,,,,,,,,
323,Lancashire,E07000124,Ribble Valley,Lancashire,,,,,,,,,
323,Lancashire,E07000125,Rossendale,Lancashire,,,,,,,,,
323,Lancashire,E07000126,South Ribble,Lancashire,,,,,,,,,
323,Lancashire,E07000127,West Lancashire,Lancashire,,,,,,,,,
323,Lancashire,E07000128,Wyre,Lancashire,,,,,,,,,
324,Blackburn with Darwen,E06000008,Blackburn with Darwen UA,Lancashire,,,,,,,,,
325,Blackpool,E06000009,Blackpool UA,Lancashire,,,,,,,,,
326,Cheshire East,E06000049,Cheshire East UA,Cheshire,,,,,,,,,
327,Cheshire West & Chester,E06000050,Cheshire West and Chester UA,Cheshire,,,,,,,,,
404,Warwickshire,E07000218,North Warwickshire,Warwickshire,,,,,,,,,
404,Warwickshire,E07000219,Nuneaton and Bedworth,Warwickshire,,,,,,,,,
404,Warwickshire,E07000220,Rugby,Warwickshire,,,,,,,,,
404,Warwickshire,E07000221,Stratford-on-Avon,Warwickshire,,,,,,,,,
404,Warwickshire,E07000222,Warwick,Warwickshire,,,,,,,,,
406,Birmingham,E08000025,Birmingham,West Midlands,,,,,,,,,
407,Coventry,E08000026,Coventry,West Midlands,,,,,,,,,
408,Dudley,E08000027,Dudley,West Midlands,,,,,,,,,
409,Sandwell,E08000028,Sandwell,West Midlands,,,,,,,,,
410,Solihull,E08000029,Solihull,West Midlands,,,,,,,,,
411,Walsall,E08000030,Walsall,West Midlands,,,,,,,,,
412,Wolverhampton,E08000031,Wolverhampton,West Midlands,,,,,,,,,
413,Staffordshire,E07000192,Cannock Chase,Staffordshire,,,,,,,,,
413,Staffordshire,E07000193,East Staffordshire,Staffordshire,,,,,,,,,
413,Staffordshire,E07000194,Lichfield,Staffordshire,,,,,,,,,
413,Staffordshire,E07000195,Newcastle-under-Lyme,Staffordshire,,,,,,,,,
413,Staffordshire,E07000196,South Staffordshire,Staffordshire,,,,,,,,,
413,Staffordshire,E07000197,Stafford,Staffordshire,,,,,,,,,
413,Staffordshire,E07000198,Staffordshire Moorlands,Staffordshire,,,,,,,,,
413,Staffordshire,E07000199,Tamworth,Staffordshire,,,,,,,,,
414,Stoke-on-Trent,E06000021,Stoke-on-Trent UA,Staffordshire,,,,,,,,,
415,Herefordshire,E06000019,"Herefordshire, County of UA",Hereforshire,,,,,,,,,
416,Worcestershire,E07000234,Bromsgrove,Worcestershire,,,,,,,,,
416,Worcestershire,E07000235,Malvern Hills,Worcestershire,,,,,,,,,
416,Worcestershire,E07000236,Redditch,Worcestershire,,,,,,,,,
416,Worcestershire,E07000237,Worcester,Worcestershire,,,,,,,,,
416,Worcestershire,E07000238,Wychavon,Worcestershire,,,,,,,,,
416,Worcestershire,E07000239,Wyre Forest,Worcestershire,,,,,,,,,
417,Shropshire,E06000051,Shropshire UA,Shropshire,,,,,,,,,
418,Telford and the Wrekin,E06000020,Telford and Wrekin UA,Shropshire,,,,,,,,,
503,Lincolnshire,E07000136,Boston,Lincolnshire,,,,,,,,,
503,Lincolnshire,E07000137,East Lindsey,Lincolnshire,,,,,,,,,
503,Lincolnshire,E07000138,Lincoln,Lincolnshire,,,,,,,,,
503,Lincolnshire,E07000139,North Kesteven,Lincolnshire,,,,,,,,,
503,Lincolnshire,E07000140,South Holland,Lincolnshire,,,,,,,,,
503,Lincolnshire,E07000141,South Kesteven,Lincolnshire,,,,,,,,,
503,Lincolnshire,E07000142,West Lindsey,Lincolnshire,,,,,,,,,
