Unnamed: 0,Unnamed: 1,Current LA code,Local authority,County,Region,Usual residents 1991,Usual residents 2001,Usual residents 2011,Percentage change in usual residents 2001,Percentage change in usual residents 2011,Population density (km2) 2001,Population density (km2) 2011,Sex ratio 2001,Sex ratio 2011,Median age 2001,Median age 2011,Percentage of population aged 0-4 2001,Percentage of population aged 0-4 2011,Percentage of population aged 0-14 2001,Percentage of population aged 0-14 2011,Percentage of population aged 15-64 2001,Percentage of population aged 15-64 2011,Percentage of population aged 65 and over 2001,Percentage of population aged 65 and over 2011,Percentage of population aged 90 and over 2001,Percentage of population aged 90 and over 2011,Short term residents 2011,"Short-term residents per 10,000 usual residents 2011",Households 2001,Households 2011,Percentage change in households 2011,Average household size (persons) 2011,Response rate 2001,Response rate 2011,Internet return rates 2011
133.0,00EB,E06000001,Hartlepool UA,Durham,North East,"91,100","90,200","92,028",-1.0,2.0,961.0,980,93.6,94.7,38.0,40.0,6.1,6.2,20.4,18.0,63.6,65.1,16.1,16.9,0.4,0.6,36,3.9,"38,000","40,434",6.4,2.3,97.1,93.9,14.2
181.0,00EC,E06000002,Middlesbrough UA,North Yorkshire,North East,"144,700","141,200","138,412",-2.4,-2.0,2621.0,"2,569",94.8,95.8,35.0,37.0,6.2,6.8,20.4,18.9,65.0,66.1,14.7,14.9,0.4,0.6,706,51.0,"57,000","57,203",0.4,2.4,96.4,92.7,14.4
223.0,00EE,E06000003,Redcar and Cleveland UA,North Yorkshire,North East,"145,900","139,200","135,177",-4.6,-2.9,568.0,552,93.2,94.4,39.0,43.0,5.4,5.6,19.0,16.6,64.2,64.0,16.7,19.4,0.5,0.7,17,1.3,"58,000","59,605",2.8,2.2,95.4,95.0,14.0
279.0,00EF,E06000004,Stockton-on-Tees UA,Durham,North East,"175,200","183,800","191,610",4.9,4.2,902.0,940,95.1,96.5,37.0,39.0,6.0,6.4,20.0,18.1,65.5,66.2,14.5,15.6,0.4,0.5,164,8.6,"75,000","79,159",5.5,2.4,97.0,94.2,16.1
80.0,00EH,E06000005,Darlington UA,Durham,North East,"99,300","97,900","105,564",-1.4,7.8,496.0,535,92.3,95.2,39.0,41.0,5.7,6.2,18.8,17.9,63.9,64.7,17.1,17.5,0.7,0.8,86,8.1,"42,000","46,670",11.1,2.2,97.6,94.1,13.8
74.0,00EJ,E06000047,County Durham UA,Durham,North East,"501,500","493,700","513,242",-1.6,4.0,222.0,231,94.6,95.9,39.0,42.0,5.3,5.6,17.8,16.0,65.6,66.0,16.5,18.0,0.6,0.7,869,16.9,"207,000","223,803",8.1,2.2,97.7,95.3,12.9
205.0,00EM,E06000048,Northumberland UA,Northumberland,North East,"305,500","307,400","316,028",0.6,2.8,61.0,63,95.4,95.2,41.0,45.0,5.1,5.1,17.5,15.8,64.9,64.1,17.6,20.0,0.6,0.9,65,2.1,"131,000","138,534",5.8,2.2,97.1,95.2,12.6
114.0,00CH,E08000020,Gateshead,Tyne and Wear,North East,"201,700","191,200","200,214",-5.2,4.7,1343.0,"1,406",93.7,95.8,39.0,40.0,5.6,5.9,18.0,16.5,64.6,65.9,17.4,17.6,0.6,0.7,196,9.8,"84,000","89,154",6.1,2.2,96.3,93.4,13.7
188.0,00CJ,E08000021,Newcastle upon Tyne,Tyne and Wear,North East,"275,000","266,200","280,177",-3.2,5.3,2346.0,"2,470",94.4,100.2,36.0,33.0,5.4,5.9,17.3,16.1,66.7,70.1,16.0,13.8,0.6,0.7,"3,097",110.5,"114,000","117,153",2.8,2.3,91.0,91.4,15.7
201.0,00CK,E08000022,North Tyneside,Tyne and Wear,North East,"194,600","192,000","200,801",-1.3,4.6,2330.0,"2,438",91.8,93.2,40.0,41.0,5.4,5.8,17.9,16.6,64.3,65.8,17.9,17.6,0.7,0.8,88,4.4,"85,000","91,295",7.4,2.2,95.7,95.2,15.3
267.0,00CL,E08000023,South Tyneside,Tyne and Wear,North East,"156,700","152,800","148,127",-2.5,-3.1,2373.0,"2,300",94.2,93.5,39.0,42.0,5.5,5.5,18.8,16.2,63.3,65.7,17.9,18.1,0.5,0.7,455,30.7,"66,000","67,167",1.8,2.2,95.1,94.5,13.6
284.0,00CM,E08000024,Sunderland,Tyne and Wear,North East,"295,900","284,600","275,506",-3.8,-3.2,2071.0,"2,004",94.5,94.6,37.0,41.0,5.3,5.6,18.5,16.3,66.0,66.7,15.5,17.0,0.5,0.6,852,30.9,"118,000","119,758",1.5,2.3,95.8,95.1,13.3
124.0,00ET,E06000006,Halton UA,Cheshire,North West,"124,800","118,600","125,746",-5.0,6.0,1499.0,"1,590",93.5,95.3,37.0,39.0,6.1,6.6,20.2,18.5,66.3,66.8,13.6,14.7,0.4,0.5,31,2.5,"48,000","53,312",11.1,2.3,96.6,93.0,16.9
316.0,00EU,E06000007,Warrington UA,Cheshire,North West,"184,700","191,200","202,228",3.5,5.8,1058.0,"1,119",96.7,98.4,37.0,40.0,6.1,6.1,19.5,17.9,66.4,66.2,14.2,15.9,0.5,0.6,224,11.1,"78,000","85,140",9.2,2.3,96.6,95.8,18.4
21.0,00EX,E06000008,Blackburn with Darwen UA,Lancashire,North West,"137,400","138,500","147,489",0.8,6.5,1011.0,"1,076",97.3,99.5,34.0,35.0,7.6,7.6,23.4,21.7,63.4,65.3,13.1,12.9,0.5,0.5,85,5.8,"53,000","57,353",8.2,2.5,95.2,93.2,17.2
22.0,00EY,E06000009,Blackpool UA,Lancashire,North West,"148,600","142,300","142,065",-4.2,-0.2,4074.0,"4,076",93.5,96.5,41.0,42.0,5.5,5.8,17.6,16.7,62.9,64.1,19.5,19.2,0.8,0.9,117,8.2,"64,000","64,367",0.6,2.1,94.3,94.9,14.2
60.0,00EQ,E06000049,Cheshire East UA,Cheshire,North West,"340,500","352,000","370,127",3.4,5.1,302.0,317,95.0,96.1,40.0,43.0,5.5,5.5,18.2,16.6,64.9,64.1,16.9,19.3,0.7,0.9,380,10.3,"147,000","159,441",8.5,2.3,97.2,96.2,16.5
61.0,00EW,E06000050,Chester,Cheshire,North West,"312,700","322,100","329,608",3.0,2.3,351.0,360,94.8,95.0,39.0,42.0,5.7,5.5,18.7,16.5,64.9,65.0,16.4,18.5,0.6,0.8,309,9.4,"133,000","141,442",6.3,2.3,96.0,96.3,15.8
2.0,16UB,E07000026,Allerdale,Cumbria,North West,"96,100","93,500","96,422",-2.7,3.1,75.0,78,95.0,96.6,41.0,45.0,5.0,5.1,17.4,15.7,64.4,63.6,18.3,20.8,0.7,0.9,93,9.6,"40,000","42,345",5.9,2.2,98.0,96.0,10.9
12.0,16UC,E07000027,Barrow-in-Furness,Cumbria,North West,"73,300","72,000","69,087",-1.8,-4.0,923.0,886,95.1,97.9,39.0,42.0,5.7,5.4,19.3,16.5,63.8,64.8,16.8,18.8,0.6,0.9,33,4.8,"31,000","31,224",0.7,2.2,94.6,95.2,14.2
51.0,16UD,E07000028,Carlisle,Cumbria,North West,"101,300","100,800","107,524",-0.5,6.7,97.0,103,93.8,95.3,40.0,42.0,5.2,5.6,17.6,16.1,64.5,65.4,18.0,18.5,0.7,0.8,129,12.0,"44,000","48,342",9.9,2.2,97.3,94.9,11.1
70.0,16UE,E07000029,Copeland,Cumbria,North West,"71,500","69,300","70,603",-3.1,1.9,95.0,96,99.1,101.0,39.0,44.0,5.3,5.2,18.3,15.8,65.1,65.3,16.6,18.9,0.6,0.7,26,3.7,"29,000","30,536",5.3,2.3,98.0,95.6,11.4
