CASSR NAME,CASSR CODE,FISCAL YEAR,QUALITY
Cumbria,102,2010/11,19.5
Northumberland,104,2010/11,18.4
Gateshead,106,2010/11,19.1
Newcastle upon Tyne,107,2010/11,18.9
North Tyneside,108,2010/11,18.8
South Tyneside,109,2010/11,18.6
Sunderland,110,2010/11,19.0
Hartlepool,111,2010/11,19.3
Middlesbrough,112,2010/11,19.7
Redcar and Cleveland,113,2010/11,18.5
Stockton-on-Tees,114,2010/11,18.8
Durham,116,2010/11,19.1
Darlington,117,2010/11,19.2
Barnsley,204,2010/11,18.9
Doncaster,205,2010/11,19.5
Rotherham,206,2010/11,19.1
Sheffield,207,2010/11,18.3
Bradford,209,2010/11,18.5
Calderdale,210,2010/11,19.4
Kirklees,211,2010/11,18.5
Leeds,212,2010/11,18.9
Wakefield,213,2010/11,19.1
East Riding of Yorkshire,214,2010/11,19.4
Kingston upon Hull,215,2010/11,19.2
North East Lincolnshire,216,2010/11,18.9
North Lincolnshire,217,2010/11,19.6
North Yorkshire,218,2010/11,19.0
York,219,2010/11,18.9
Bolton,304,2010/11,19.0
Bury,305,2010/11,19.3
Manchester,306,2010/11,18.4
Oldham,307,2010/11,18.1
Rochdale,308,2010/11,18.6
Salford,309,2010/11,18.6
Stockport,310,2010/11,18.3
Tameside,311,2010/11,17.9
Trafford,312,2010/11,18.1
Wigan,313,2010/11,18.6
Knowsley,315,2010/11,18.8
Liverpool,316,2010/11,19.0
Sefton,317,2010/11,19.4
St. Helens,318,2010/11,19.3
Wirral,319,2010/11,18.9
Halton,321,2010/11,18.9
Warrington,322,2010/11,18.5
Lancashire,323,2010/11,19.2
Blackburn with Darwen,324,2010/11,19.0
Blackpool,325,2010/11,19.0
Cheshire East,326,2010/11,18.8
Cheshire West & Chester,327,2010/11,18.9
Warwickshire,404,2010/11,18.5
Birmingham,406,2010/11,18.6
Coventry,407,2010/11,18.5
Dudley,408,2010/11,18.9
Sandwell,409,2010/11,18.7
Solihull,410,2010/11,18.1
Walsall,411,2010/11,18.4
Wolverhampton,412,2010/11,19.1
Staffordshire,413,2010/11,18.5
Stoke-on-Trent,414,2010/11,18.8
Herefordshire,415,2010/11,19.2
Worcestershire,416,2010/11,18.8
Shropshire,417,2010/11,19.1
Telford and the Wrekin,418,2010/11,18.0
Lincolnshire,503,2010/11,18.9
Northamptonshire,504,2010/11,19.2
Derbyshire,506,2010/11,18.5
Derby,507,2010/11,18.4
Leicestershire,508,2010/11,18.1
Leicester,509,2010/11,18.3
Rutland,510,2010/11,18.9
Nottinghamshire,511,2010/11,18.6
Nottingham,512,2010/11,18.7
Hertfordshire,606,2010/11,18.8
Norfolk,607,2010/11,18.1
Oxfordshire,608,2010/11,18.8
Suffolk,609,2010/11,18.9
Luton,611,2010/11,18.2
Buckinghamshire,612,2010/11,18.5
Milton Keynes,613,2010/11,18.2
Bracknell Forest,614,2010/11,18.4
West Berkshire,615,2010/11,19.0
Reading,616,2010/11,18.4
Slough,617,2010/11,18.0
Windsor and Maidenhead,618,2010/11,18.8
Wokingham,619,2010/11,18.3
Essex,620,2010/11,18.6
Southend-on-Sea,621,2010/11,18.9
Thurrock,622,2010/11,18.6
Cambridgeshire,623,2010/11,19.0
Peterborough,624,2010/11,18.8
Bedford,625,2010/11,18.7
Central Bedfordshire,626,2010/11,18.3
Camden,702,2010/11,17.6
Greenwich,703,2010/11,18.0
Hackney,704,2010/11,18.4
Hammersmith and Fulham,705,2010/11,18.0
Islington,706,2010/11,18.1
Kensington and Chelsea,707,2010/11,17.9
Lambeth,708,2010/11,17.4
Lewisham,709,2010/11,17.7
Southwark,710,2010/11,17.4
Tower Hamlets,711,2010/11,17.9
Wandsworth,712,2010/11,18.7
Westminster,713,2010/11,17.4
City of London,714,2010/11,..
Barking and Dagenham,716,2010/11,19.5
Barnet,717,2010/11,18.4
Bexley,718,2010/11,17.9
Brent,719,2010/11,17.5
Bromley,720,2010/11,18.4
Croydon,721,2010/11,18.3
Ealing,722,2010/11,17.7
Enfield,723,2010/11,17.9
Haringey,724,2010/11,18.0
Harrow,725,2010/11,18.2
Havering,726,2010/11,17.9
Hillingdon,727,2010/11,18.3
Hounslow,728,2010/11,17.5
Kingston upon Thames,729,2010/11,18.3
Merton,730,2010/11,17.6
Newham,731,2010/11,17.9
Redbridge,732,2010/11,19.4
Richmond upon Thames,733,2010/11,..
Sutton,734,2010/11,18.5
Waltham Forest,735,2010/11,17.7
Isle of Wight,803,2010/11,19.1
Surrey,805,2010/11,19.1
West Sussex,807,2010/11,18.4
Dorset,809,2010/11,19.2
Bournemouth,810,2010/11,18.9
Poole,811,2010/11,18.3
Hampshire,812,2010/11,19.3
Portsmouth,813,2010/11,19.4
Southampton,814,2010/11,18.4
East Sussex,815,2010/11,18.8
Brighton and Hove,816,2010/11,18.7
Wiltshire,817,2010/11,19.4
Swindon,819,2010/11,19.1
Kent,820,2010/11,18.5
Medway Towns,821,2010/11,18.9
