CASSR Code,CASSR Name,Confidence interval,Base,Outcome,End Year
102,Cumbria,0.4,375,19.5,2011
104,Northumberland,0.4,375,18.4,2011
106,Gateshead,0.4,275,19.1,2011
107,Newcastle upon Tyne,0.4,355,18.9,2011
108,North Tyneside,0.4,285,18.8,2011
109,South Tyneside,0.5,265,18.6,2011
110,Sunderland,0.4,280,19.0,2011
111,Hartlepool,0.4,305,19.3,2011
112,Middlesbrough,0.4,325,19.7,2011
113,Redcar and Cleveland,0.4,315,18.5,2011
114,Stockton-on-Tees,0.4,255,18.8,2011
116,Durham,0.4,330,19.1,2011
117,Darlington,0.4,215,19.2,2011
204,Barnsley,0.4,365,18.9,2011
205,Doncaster,0.4,310,19.5,2011
206,Rotherham,0.4,370,19.1,2011
207,Sheffield,0.4,470,18.3,2011
209,Bradford,0.4,405,18.5,2011
210,Calderdale,0.3,380,19.4,2011
211,Kirklees,0.4,310,18.5,2011
212,Leeds,0.4,360,18.9,2011
213,Wakefield,0.4,365,19.1,2011
214,East Riding of Yorkshire,0.4,275,19.4,2011
215,Kingston upon Hull,0.3,390,19.2,2011
216,North East Lincolnshire,0.5,265,18.9,2011
217,North Lincolnshire,0.4,285,19.6,2011
218,North Yorkshire,0.4,370,19.0,2011
219,York,0.3,440,18.9,2011
304,Bolton,0.3,560,19.0,2011
305,Bury,0.3,355,19.3,2011
306,Manchester,0.4,345,18.4,2011
307,Oldham,0.4,460,18.1,2011
308,Rochdale,0.4,350,18.6,2011
309,Salford,0.3,655,18.6,2011
310,Stockport,0.4,375,18.3,2011
311,Tameside,0.4,345,17.9,2011
312,Trafford,0.4,345,18.1,2011
313,Wigan,0.4,335,18.6,2011
315,Knowsley,0.4,350,18.8,2011
316,Liverpool,0.4,365,19.0,2011
317,Sefton,0.4,345,19.4,2011
318,St. Helens,0.4,320,19.3,2011
319,Wirral,0.5,235,18.9,2011
321,Halton,0.4,275,18.9,2011
322,Warrington,0.4,425,18.5,2011
323,Lancashire,0.4,395,19.2,2011
324,Blackburn with Darwen,0.3,340,19.0,2011
325,Blackpool,0.4,355,19.0,2011
326,Cheshire East,0.4,330,18.8,2011
327,Cheshire West & Chester,0.3,545,18.9,2011
404,Warwickshire,0.4,370,18.5,2011
406,Birmingham,0.4,340,18.6,2011
407,Coventry,0.4,395,18.5,2011
408,Dudley,0.3,710,18.9,2011
409,Sandwell,0.4,365,18.7,2011
410,Solihull,0.3,425,18.1,2011
411,Walsall,0.4,285,18.4,2011
412,Wolverhampton,0.5,270,19.1,2011
413,Staffordshire,0.4,335,18.5,2011
414,Stoke-on-Trent,0.4,360,18.8,2011
415,Herefordshire,0.4,270,19.2,2011
416,Worcestershire,0.3,475,18.8,2011
417,Shropshire,0.4,310,19.1,2011
418,Telford and the Wrekin,0.3,450,18.0,2011
503,Lincolnshire,0.4,335,18.9,2011
504,Northamptonshire,0.4,325,19.2,2011
506,Derbyshire,0.5,175,18.5,2011
507,Derby,0.4,330,18.4,2011
508,Leicestershire,0.4,420,18.1,2011
509,Leicester,0.4,370,18.3,2011
510,Rutland,0.4,205,18.9,2011
511,Nottinghamshire,0.4,355,18.6,2011
512,Nottingham,0.4,340,18.7,2011
606,Hertfordshire,0.4,370,18.8,2011
607,Norfolk,0.4,280,18.1,2011
608,Oxfordshire,0.3,480,18.8,2011
609,Suffolk,0.4,380,18.9,2011
611,Luton,0.4,320,18.2,2011
612,Buckinghamshire,0.4,345,18.5,2011
613,Milton Keynes,0.4,340,18.2,2011
614,Bracknell Forest,0.4,245,18.4,2011
615,West Berkshire,0.4,320,19.0,2011
616,Reading,0.4,340,18.4,2011
617,Slough,0.4,300,18.0,2011
618,Windsor and Maidenhead,0.4,310,18.8,2011
619,Wokingham,0.4,260,18.3,2011
620,Essex,0.4,385,18.6,2011
621,Southend-on-Sea,0.4,380,18.9,2011
622,Thurrock,0.4,295,18.6,2011
623,Cambridgeshire,0.3,425,19.0,2011
624,Peterborough,0.3,385,18.8,2011
625,Bedford,0.4,395,18.7,2011
626,Central Bedfordshire,0.4,350,18.3,2011
702,Camden,0.5,315,17.6,2011
703,Greenwich,0.4,355,18.0,2011
704,Hackney,0.5,320,18.4,2011
705,Hammersmith and Fulham,0.4,345,18.0,2011
706,Islington,0.4,365,18.1,2011
707,Kensington and Chelsea,0.4,390,17.9,2011
708,Lambeth,0.5,350,17.4,2011
709,Lewisham,0.4,380,17.7,2011
710,Southwark,0.5,345,17.4,2011
711,Tower Hamlets,0.4,510,17.9,2011
712,Wandsworth,0.4,350,18.7,2011
713,Westminster,0.4,425,17.4,2011
714,City of London,..,..,..,2011
716,Barking and Dagenham,0.4,255,19.5,2011
717,Barnet,0.4,320,18.4,2011
718,Bexley,0.5,295,17.9,2011
719,Brent,0.6,215,17.5,2011
720,Bromley,0.4,430,18.4,2011
721,Croydon,0.4,345,18.3,2011
722,Ealing,0.5,315,17.7,2011
723,Enfield,0.4,390,17.9,2011
724,Haringey,0.4,335,18.0,2011
725,Harrow,0.5,235,18.2,2011
726,Havering,0.4,380,17.9,2011
727,Hillingdon,0.5,275,18.3,2011
728,Hounslow,0.2,"1,235",17.5,2011
729,Kingston upon Thames,0.5,205,18.3,2011
730,Merton,0.4,335,17.6,2011
731,Newham,0.4,385,17.9,2011
732,Redbridge,0.4,400,19.4,2011
733,Richmond upon Thames,..,..,..,2011
734,Sutton,0.4,420,18.5,2011
735,Waltham Forest,0.4,365,17.7,2011
803,Isle of Wight,0.4,250,19.1,2011
805,Surrey,0.3,400,19.1,2011
807,West Sussex,0.4,370,18.4,2011
809,Dorset,0.3,355,19.2,2011
810,Bournemouth,0.3,400,18.9,2011
811,Poole,0.4,365,18.3,2011
812,Hampshire,0.4,390,19.3,2011
813,Portsmouth,0.4,315,19.4,2011
814,Southampton,0.4,360,18.4,2011
815,East Sussex,0.4,330,18.8,2011
816,Brighton and Hove,0.4,320,18.7,2011
817,Wiltshire,0.4,345,19.4,2011
819,Swindon,0.4,255,19.1,2011
820,Kent,0.4,405,18.5,2011
821,Medway Towns,0.4,345,18.9,2011
902,Cornwall,0.2,850,19.2,2011
904,Gloucestershire,0.3,630,18.7,2011
905,Somerset,0.3,610,18.6,2011
906,Isles of Scilly,..,..,..,2011
908,Bath and North East Somerset,0.3,425,18.8,2011
909,Bristol,0.6,195,18.5,2011
910,North Somerset,0.4,335,19.1,2011
911,South Gloucestershire,0.3,415,18.7,2011
912,Devon,0.4,415,18.8,2011
913,Plymouth,0.3,460,19.2,2011
914,Torbay,0.4,460,19.0,2011
102,Cumbria,0.3,540,19.3,2012
104,Northumberland,0.3,490,19.3,2012
106,Gateshead,0.4,290,19.0,2012
107,Newcastle upon Tyne,0.4,380,19.4,2012
108,North Tyneside,0.4,310,19.2,2012
109,South Tyneside,0.4,295,19.2,2012
110,Sunderland,0.3,360,19.2,2012
111,Hartlepool,0.4,285,19.0,2012
112,Middlesbrough,0.3,365,19.6,2012
113,Redcar and Cleveland,0.4,380,18.7,2012
114,Stockton-on-Tees,0.3,385,19.2,2012
116,Durham,0.3,370,19.4,2012
117,Darlington,0.5,195,19.4,2012
204,Barnsley,0.6,370,18.8,2012
205,Doncaster,0.4,400,18.7,2012
206,Rotherham,0.3,555,19.1,2012
