"Kent","1011","18-64","62105"
"Essex","1011","18-64","54955"
"Hampshire","1011","18-64","53390"
"Norfolk","1011","18-64","34005"
"Hertfordshire","1011","18-64","33925"
"Birmingham","1011","18-64","33840"
"Lancashire","1011","18-64","33290"
"Staffordshire","1011","18-64","30280"
"Derbyshire","1011","18-64","28865"
"Surrey","1011","18-64","28800"
"Devon","1011","18-64","28305"
"Nottinghamshire","1011","18-64","28150"
"Gloucestershire","1011","18-64","26635"
"Somerset","1011","18-64","26100"
"Wiltshire","1011","18-64","26060"
"North Yorkshire","1011","18-64","25600"
"West Sussex","1011","18-64","24720"
"Durham","1011","18-64","23685"
"Cumbria","1011","18-64","22235"
"East Sussex","1011","18-64","21555"
"Leeds","1011","18-64","21135"
"Suffolk","1011","18-64","21090"
"Liverpool","1011","18-64","20095"
"Kirklees","1011","18-64","17785"
"Leicestershire","1011","18-64","17010"
"Dudley","1011","18-64","16510"
"Oxfordshire","1011","18-64","16475"
"Bristol UA","1011","18-64","16405"
"Cambridgeshire","1011","18-64","16270"
"Northamptonshire","1011","18-64","15785"
"Bradford","1011","18-64","15545"
"Shropshire","1011","18-64","15215"
"Northumberland","1011","18-64","14875"
"Sheffield","1011","18-64","14610"
"Tameside","1011","18-64","14230"
"Buckinghamshire","1011","18-64","13925"
"Warwickshire","1011","18-64","13500"
"Worcestershire","1011","18-64","13025"
"Dorset","1011","18-64","12960"
"Sefton","1011","18-64","12490"
"East Riding of Yorkshire UA","1011","18-64","11885"
"Wirral","1011","18-64","11760"
"Lambeth","1011","18-64","11590"
"Enfield","1011","18-64","11540"
"Manchester","1011","18-64","11445"
"Ealing","1011","18-64","11090"
"Stoke-on-Trent UA","1011","18-64","11045"
"Wakefield","1011","18-64","10980"
"Southampton UA","1011","18-64","10910"
"Wigan","1011","18-64","10685"
"Bolton","1011","18-64","10680"
"Newcastle upon Tyne","1011","18-64","10675"
"Trafford","1011","18-64","10650"
"Rotherham","1011","18-64","10480"
"Coventry","1011","18-64","10465"
"Kingston upon Hull UA","1011","18-64","10320"
"Stockport","1011","18-64","10290"
"Derby UA","1011","18-64","10230"
"Cheshire West and Chester UA","1011","18-64","10170"
"Bury","1011","18-64","10045"
"Plymouth UA","1011","18-64","9990"
"Salford","1011","18-64","9940"
"Sunderland","1011","18-64","9835"
"Cheshire East UA","1011","18-64","9685"
"Bromley","1011","18-64","9605"
"Croydon","1011","18-64","9515"
"Southend-on-Sea UA","1011","18-64","9450"
"Doncaster","1011","18-64","9270"
"Sandwell","1011","18-64","8990"
"Stockton-on-Tees UA","1011","18-64","8980"
"Havering","1011","18-64","8855"
"Leicester UA","1011","18-64","8755"
"Warrington UA","1011","18-64","8530"
"Rochdale","1011","18-64","8390"
"South Tyneside","1011","18-64","8265"
"Brent","1011","18-64","8195"
"Barnet","1011","18-64","8040"
"South Gloucestershire UA","1011","18-64","7955"
"Bexley","1011","18-64","7930"
"Swindon UA","1011","18-64","7910"
"North Somerset UA","1011","18-64","7880"
"Redbridge","1011","18-64","7870"
"Herefordshire UA","1011","18-64","7850"
"North East Lincolnshire UA","1011","18-64","7760"
"Middlesbrough UA","1011","18-64","7665"
"Harrow","1011","18-64","7655"
"York UA","1011","18-64","7535"
"Southwark","1011","18-64","7460"
"Portsmouth UA","1011","18-64","7355"
"Torbay UA","1011","18-64","7325"
"Kensington and Chelsea","1011","18-64","7325"
"Gateshead","1011","18-64","7270"
"Newham","1011","18-64","7180"
"St. Helens","1011","18-64","7115"
"Oldham","1011","18-64","7005"
"Greenwich","1011","18-64","6910"
"Westminster","1011","18-64","6890"
"Camden","1011","18-64","6845"
"Islington","1011","18-64","6835"
"North Tyneside","1011","18-64","6805"
"Hounslow","1011","18-64","6735"
"Poole UA","1011","18-64","6570"
"Nottingham UA","1011","18-64","6555"
"Peterborough UA","1011","18-64","6510"
"Brighton and Hove UA","1011","18-64","6405"
"Telford and the Wrekin UA","1011","18-64","6350"
"Haringey","1011","18-64","6195"
"Knowsley","1011","18-64","6190"
"Central Bedfordshire UA","1011","18-64","6130"
"Barking and Dagenham","1011","18-64","6105"
"Redcar and Cleveland UA","1011","18-64","6080"
"Barnsley","1011","18-64","6010"
"Luton UA","1011","18-64","5990"
"Hackney","1011","18-64","5925"
"Bath and North East Somerset UA","1011","18-64","5895"
"Medway Towns UA","1011","18-64","5870"
"North Lincolnshire UA","1011","18-64","5790"
"Lewisham","1011","18-64","5720"
"Reading UA","1011","18-64","5710"
"Wolverhampton","1011","18-64","5695"
"Solihull","1011","18-64","5375"
"Bournemouth UA","1011","18-64","5325"
"Merton","1011","18-64","5260"
"Wandsworth","1011","18-64","5235"
"Blackburn with Darwen UA","1011","18-64","5200"
"Halton UA","1011","18-64","5160"
"West Berkshire UA","1011","18-64","5145"
"Bedford UA","1011","18-64","5015"
"Blackpool UA","1011","18-64","5010"
"Hartlepool UA","1011","18-64","4985"
"Calderdale","1011","18-64","4955"
"Hillingdon","1011","18-64","4765"
"Hammersmith and Fulham","1011","18-64","4615"
"Bracknell Forest UA","1011","18-64","4470"
"Slough UA","1011","18-64","4310"
"Sutton","1011","18-64","4230"
"Milton Keynes UA","1011","18-64","4195"
"Darlington UA","1011","18-64","4060"
"Isle of Wight UA","1011","18-64","4035"
"Tower Hamlets","1011","18-64","4000"
"Windsor and Maidenhead UA","1011","18-64","3945"
"Wokingham UA","1011","18-64","3895"
"Richmond upon Thames","1011","18-64","3650"
"Waltham Forest","1011","18-64","3600"
"Kingston upon Thames","1011","18-64","2335"
"Thurrock UA","1011","18-64","2235"
"Rutland UA","1011","18-64","1475"
"City of London","1011","18-64","305"
"Isles of Scilly","1011","18-64","110"
"Lincolnshire","1011","18-64","0"
"Cornwall","1011","18-64","0"
