"Kent","1314","Physical Disability","39040"
"Essex","1314","Physical Disability","38390"
"Hertfordshire","1314","Physical Disability","34550"
"North Yorkshire","1314","Physical Disability","26715"
"Staffordshire","1314","Physical Disability","25630"
"Birmingham","1314","Physical Disability","25545"
"Lancashire","1314","Physical Disability","23890"
"Norfolk","1314","Physical Disability","23695"
"Devon","1314","Physical Disability","22890"
"Durham","1314","Physical Disability","22370"
"Nottinghamshire","1314","Physical Disability","21915"
"Lincolnshire","1314","Physical Disability","21495"
"Liverpool","1314","Physical Disability","20570"
"Surrey","1314","Physical Disability","20260"
"Hampshire","1314","Physical Disability","19900"
"Derbyshire","1314","Physical Disability","19225"
"East Sussex","1314","Physical Disability","18390"
"Cornwall","1314","Physical Disability","18070"
"Wiltshire","1314","Physical Disability","17965"
"Buckinghamshire","1314","Physical Disability","17415"
"Kirklees","1314","Physical Disability","17170"
"Suffolk","1314","Physical Disability","15585"
"Cambridgeshire","1314","Physical Disability","15545"
"West Sussex","1314","Physical Disability","15335"
"Leeds","1314","Physical Disability","14675"
"Kingston upon Hull","1314","Physical Disability","14645"
"Gloucestershire","1314","Physical Disability","14550"
"Leicestershire","1314","Physical Disability","13215"
"St. Helens","1314","Physical Disability","12805"
"Rotherham","1314","Physical Disability","12205"
"Wirral","1314","Physical Disability","11925"
"Somerset","1314","Physical Disability","11925"
"Cumbria","1314","Physical Disability","11850"
"Worcestershire","1314","Physical Disability","11690"
"Sheffield","1314","Physical Disability","11610"
"Wakefield","1314","Physical Disability","11600"
"East Riding of Yorkshire","1314","Physical Disability","11270"
"Northamptonshire","1314","Physical Disability","11250"
"Warwickshire","1314","Physical Disability","11085"
"Medway Towns","1314","Physical Disability","10805"
"Havering","1314","Physical Disability","10365"
"Salford","1314","Physical Disability","10330"
"Cheshire East","1314","Physical Disability","10250"
"Croydon","1314","Physical Disability","10220"
"Tameside","1314","Physical Disability","10165"
"Ealing","1314","Physical Disability","10155"
"Stockport","1314","Physical Disability","9945"
"Stoke-on-Trent","1314","Physical Disability","9860"
"Leicester","1314","Physical Disability","9855"
"Bolton","1314","Physical Disability","9330"
"Sefton","1314","Physical Disability","9220"
"Enfield","1314","Physical Disability","8955"
"Cheshire West and Chester","1314","Physical Disability","8860"
"Bexley","1314","Physical Disability","8825"
"Trafford","1314","Physical Disability","8825"
"Doncaster","1314","Physical Disability","8665"
"Southampton","1314","Physical Disability","8485"
"York","1314","Physical Disability","8420"
"Wigan","1314","Physical Disability","8315"
"Dorset","1314","Physical Disability","8285"
"Southend-on-Sea","1314","Physical Disability","8265"
"Newcastle upon Tyne","1314","Physical Disability","8210"
"Redbridge","1314","Physical Disability","8115"
"Bromley","1314","Physical Disability","7815"
"Derby","1314","Physical Disability","7635"
"Northumberland","1314","Physical Disability","7625"
"Lambeth","1314","Physical Disability","7480"
"Nottingham","1314","Physical Disability","7400"
"Bradford","1314","Physical Disability","7300"
"Coventry","1314","Physical Disability","7185"
"Peterborough","1314","Physical Disability","7030"
"Dudley","1314","Physical Disability","7005"
"Central Bedfordshire","1314","Physical Disability","6890"
"Hackney","1314","Physical Disability","6485"
"Torbay","1314","Physical Disability","6460"
"Calderdale","1314","Physical Disability","6370"
"Camden","1314","Physical Disability","6335"
"Sunderland","1314","Physical Disability","6275"
"Harrow","1314","Physical Disability","6215"
"Swindon","1314","Physical Disability","6210"
"Oxfordshire","1314","Physical Disability","6200"
"Shropshire","1314","Physical Disability","6010"
"Gateshead","1314","Physical Disability","5990"
"Barnet","1314","Physical Disability","5970"
"Knowsley","1314","Physical Disability","5970"
"Hillingdon","1314","Physical Disability","5945"
"Poole","1314","Physical Disability","5890"
"Halton","1314","Physical Disability","5870"
