Location;Year;BaseLinePerHead;TotalGranted
Hartlepool;2013/14;87;8255
Middlesbrough;2013/14;111;15932
Redcar and Cleveland;2013/14;76;10620
Stockton-on-Tees;2013/14;63;12711
Darlington;2013/14;64;6989
Durham;2013/14;83;44533
Northumberland;2013/14;40;13043
Gateshead;2013/14;74;15401
Newcastle upon Tyne;2013/14;71;20721
North Tyneside;2013/14;48;10417
South Tyneside;2013/14;82;12565
Sunderland;2013/14;73;20656
Halton;2013/14;65;8510
Warrington;2013/14;44;10052
Blackburn with Darwen;2013/14;84;12776
Blackpool;2013/14;119;17457
Cheshire East;2013/14;35;13762
Cheshire West and Chester;2013/14;37;13371
Bolton;2013/14;59;18115
Bury;2013/14;44;9147
Manchester;2013/14;71;40105
Oldham;2013/14;54;13559
Rochdale;2013/14;64;14256
Salford;2013/14;64;17075
Stockport;2013/14;41;12360
Tameside;2013/14;47;11454
Trafford;2013/14;43;10171
Wigan;2013/14;70;23020
Knowsley;2013/14;106;15929
Liverpool;2013/14;84;40308
St. Helens;2013/14;70;12680
Sefton;2013/14;69;19408
Wirral;2013/14;78;25720
Cumbria;2013/14;26;14176
Lancashire;2013/14;48;57991
Kingston upon Hull;2013/14;83;21945
East Riding of Yorkshire;2013/14;22;8341
North East Lincolnshire;2013/14;59;9700
North Lincolnshire;2013/14;46;8071
York;2013/14;30;6641
Barnsley;2013/14;55;13571
Doncaster;2013/14;63;19648
Rotherham;2013/14;52;13790
Sheffield;2013/14;51;29665
Bradford;2013/14;54;31545
Calderdale;2013/14;43;9829
Kirklees;2013/14;49;22603
Leeds;2013/14;43;36855
Wakefield;2013/14;59;20230
North Yorkshire;2013/14;29;19021
Derby;2013/14;47;13167
Leicester;2013/14;55;19995
Rutland;2013/14;26;1044
Nottingham;2013/14;85;27081
Derbyshire;2013/14;43;34680
Leicestershire;2013/14;28;20206
Lincolnshire;2013/14;36;27542
Northamptonshire;2013/14;34;26839
Nottinghamshire;2013/14;43;35135
Herefordshire;2013/14;40;7753
Telford and the Wrekin;2013/14;61;10616
Stoke-on-Trent;2013/14;76;19690
Shropshire;2013/14;26;8948
Birmingham;2013/14;70;78636
Coventry;2013/14;49;17832
Dudley;2013/14;57;18457
Sandwell;2013/14;60;20816
Solihull;2013/14;45;9635
Walsall;2013/14;50;14984
Wolverhampton;2013/14;72;18770
Staffordshire;2013/14;36;32322
Warwickshire;2013/14;37;21216
Worcestershire;2013/14;44;25806
