"Cornwall","1314","61970"
"Hampshire","1314","54665"
"North Yorkshire","1314","51785"
"Essex","1314","49450"
"Lancashire","1314","47210"
"Lincolnshire","1314","44745"
"Hertfordshire","1314","44685"
"Ealing","1314","44490"
"Norfolk","1314","42310"
"Derbyshire","1314","39870"
"Kent","1314","37660"
"Devon","1314","36420"
"Birmingham","1314","35900"
"Surrey","1314","34650"
"Gloucestershire","1314","30855"
"Wiltshire","1314","27645"
"Nottinghamshire","1314","27285"
"Bradford","1314","26780"
"Buckinghamshire","1314","25755"
"Sandwell","1314","25705"
"Leicestershire","1314","25030"
"Cambridgeshire","1314","24630"
"Staffordshire","1314","24160"
"Kirklees","1314","24070"
"Dudley","1314","23120"
"Medway Towns","1314","21425"
"Cumbria","1314","21280"
"Manchester","1314","20265"
"Northamptonshire","1314","20065"
"Wakefield","1314","19735"
"Worcestershire","1314","19410"
"Southend-on-Sea","1314","18465"
"Leeds","1314","17530"
"West Sussex","1314","16910"
"Sheffield","1314","16150"
"Cheshire West and Chester","1314","16140"
"Lambeth","1314","15580"
"Liverpool","1314","15345"
"Calderdale","1314","15100"
"East Riding of Yorkshire","1314","14435"
"Trafford","1314","14210"
"Durham","1314","14205"
"Cheshire East","1314","14125"
"Suffolk","1314","13870"
"Stockport","1314","13650"
"St. Helens","1314","13555"
"Northumberland","1314","13480"
"Salford","1314","13230"
"North Somerset","1314","13220"
"East Sussex","1314","12980"
"Wirral","1314","12890"
"Leicester","1314","12655"
"Dorset","1314","12545"
"Wolverhampton","1314","12545"
"Sunderland","1314","11925"
"Redbridge","1314","11315"
"Lewisham","1314","11165"
"Barnet","1314","10825"
"Bromley","1314","10750"
"York","1314","10640"
"Harrow","1314","10530"
"Newcastle upon Tyne","1314","10200"
"Bolton","1314","10120"
"Newham","1314","9965"
"Wigan","1314","9785"
"Plymouth","1314","9720"
"Warwickshire","1314","9700"
"Barking and Dagenham","1314","9580"
"Croydon","1314","9475"
"Herefordshire","1314","9250"
"Somerset","1314","9220"
"South Tyneside","1314","9160"
"Rotherham","1314","9120"
"Southampton","1314","9095"
"Bexley","1314","9090"
"Greenwich","1314","8930"
"Kingston upon Hull","1314","8915"
"North Tyneside","1314","8915"
"Tameside","1314","8690"
"Coventry","1314","8620"
"Sefton","1314","8595"
"Peterborough","1314","8355"
"North Lincolnshire","1314","8315"
"Stoke-on-Trent","1314","8300"
"Derby","1314","8205"
"Bury","1314","8130"
"Bristol","1314","8045"
"Doncaster","1314","8040"
"Swindon","1314","8020"
"Haringey","1314","8020"
"Rochdale","1314","7930"
"Hackney","1314","7665"
"Enfield","1314","7550"
"Walsall","1314","7425"
"Poole","1314","7165"
"Middlesbrough","1314","7135"
"Luton","1314","7000"
"Waltham Forest","1314","6910"
"South Gloucestershire","1314","6820"
"Oxfordshire","1314","6735"
"Oldham","1314","6715"
"Barnsley","1314","6680"
"Westminster","1314","6605"
"Havering","1314","6605"
"Blackburn with Darwen","1314","6575"
"Hounslow","1314","6440"
"Brighton and Hove","1314","6420"
"Gateshead","1314","6210"
"Redcar and Cleveland","1314","6070"
"Kensington and Chelsea","1314","5975"
"Central Bedfordshire","1314","5790"
"Knowsley","1314","5780"
"Tower Hamlets","1314","5745"
"Warrington","1314","5655"
"Torbay","1314","5535"
"Stockton-on-Tees","1314","5435"
"Nottingham","1314","5375"
"Solihull","1314","5280"
"Wokingham","1314","5240"
"Shropshire","1314","5165"
"Bournemouth","1314","5120"
"Darlington","1314","5120"
"Richmond upon Thames","1314","4845"
"Portsmouth","1314","4705"
"West Berkshire","1314","4705"
"Southwark","1314","4650"
"Halton","1314","4650"
"Thurrock","1314","4550"
"North East Lincolnshire","1314","4490"
"Wandsworth","1314","4485"
"Brent","1314","4415"
"Islington","1314","4335"
"Camden","1314","4295"
"Bedford","1314","4235"
"Isle of Wight","1314","4220"
"Kingston upon Thames","1314","4185"
"Windsor and Maidenhead","1314","4080"
"Milton Keynes","1314","4035"
"Sutton","1314","3950"
"Telford and the Wrekin","1314","3855"
"Blackpool","1314","3765"
"Reading","1314","3660"
"Bracknell Forest","1314","3610"
"Hillingdon","1314","3475"
"Hartlepool","1314","3450"
"Bath and North East Somerset","1314","2560"
"Hammersmith and Fulham","1314","2345"
"Merton","1314","2165"
"Rutland","1314","1750"
"Slough","1314","1685"
"City of London","1314","145"
"Isles of Scilly","1314","130"
"Cornwall","1213","57925"
"Hampshire","1213","52725"
"North Yorkshire","1213","49835"
"Essex","1213","48925"
"Lancashire","1213","47860"
"Norfolk","1213","44095"
"Ealing","1213","43975"
"Hertfordshire","1213","39880"
"Devon","1213","36855"
