"Kent","1011","31315"
"Essex","1011","22190"
"Hampshire","1011","18920"
"Birmingham","1011","16355"
"Norfolk","1011","15685"
"Devon","1011","13705"
"Hertfordshire","1011","11295"
"Wiltshire","1011","11180"
"Staffordshire","1011","9670"
"Derbyshire","1011","9250"
"Surrey","1011","9220"
"Lancashire","1011","9215"
"Gloucestershire","1011","9180"
"West Sussex","1011","8345"
"Nottinghamshire","1011","8295"
"Suffolk","1011","8085"
"Oxfordshire","1011","7970"
"Durham","1011","7955"
"Bristol UA","1011","7895"
"Liverpool","1011","7595"
"Cumbria","1011","7165"
"Leeds","1011","7020"
"Dudley","1011","6985"
"East Sussex","1011","6940"
"Somerset","1011","6795"
"Northamptonshire","1011","6445"
"North Yorkshire","1011","6390"
"Dorset","1011","5680"
"Tameside","1011","5635"
"Cambridgeshire","1011","5325"
"Sheffield","1011","5320"
"Northumberland","1011","5130"
"Bradford","1011","5085"
"Leicestershire","1011","5000"
"Shropshire","1011","4380"
"Sandwell","1011","4365"
"Warwickshire","1011","4320"
"Bury","1011","4305"
"Cheshire East UA","1011","4195"
"East Riding of Yorkshire UA","1011","4175"
"Cheshire West and Chester UA","1011","4155"
"Wirral","1011","4130"
"Stoke-on-Trent UA","1011","4100"
"Medway Towns UA","1011","4075"
"Sunderland","1011","4070"
"Plymouth UA","1011","3990"
"Bolton","1011","3960"
"Trafford","1011","3905"
"Worcestershire","1011","3865"
"Stockport","1011","3855"
"Lambeth","1011","3785"
"Swindon UA","1011","3715"
"Newham","1011","3685"
"Coventry","1011","3670"
"Southend-on-Sea UA","1011","3670"
"Southampton UA","1011","3660"
"Kingston upon Hull UA","1011","3610"
"Derby UA","1011","3510"
"Sefton","1011","3510"
"Nottingham UA","1011","3485"
"Leicester UA","1011","3390"
"Portsmouth UA","1011","3365"
"Ealing","1011","3355"
"Kirklees","1011","3305"
"Manchester","1011","3185"
"North East Lincolnshire UA","1011","3140"
"Southwark","1011","3105"
"Havering","1011","3095"
"Rotherham","1011","3070"
"Enfield","1011","3050"
"Hillingdon","1011","2975"
"Herefordshire UA","1011","2955"
"South Gloucestershire UA","1011","2900"
"Wakefield","1011","2900"
"Wigan","1011","2890"
"Greenwich","1011","2845"
"Brent","1011","2830"
"Newcastle upon Tyne","1011","2825"
"Rochdale","1011","2750"
"North Somerset UA","1011","2740"
"Salford","1011","2740"
"Croydon","1011","2735"
"Stockton-on-Tees UA","1011","2725"
"Warrington UA","1011","2670"
"South Tyneside","1011","2620"
"Doncaster","1011","2585"
"Westminster","1011","2575"
"Camden","1011","2515"
"Gateshead","1011","2490"
"North Tyneside","1011","2485"
"Bath and North East Somerset UA","1011","2445"
"Bromley","1011","2365"
"Central Bedfordshire UA","1011","2365"
"Luton UA","1011","2340"
"Bracknell Forest UA","1011","2330"
"Wolverhampton","1011","2330"
"Bournemouth UA","1011","2290"
"Bexley","1011","2280"
"Barnet","1011","2265"
"Islington","1011","2265"
"Buckinghamshire","1011","2225"
"Torbay UA","1011","2210"
"Brighton and Hove UA","1011","2175"
"Telford and the Wrekin UA","1011","2175"
"St. Helens","1011","2170"
"Knowsley","1011","2150"
"North Lincolnshire UA","1011","2120"
"Redbridge","1011","2075"
"Haringey","1011","2040"
"Barnsley","1011","2000"
"Oldham","1011","1985"
"Reading UA","1011","1985"
"Poole UA","1011","1960"
"Peterborough UA","1011","1945"
"Kensington and Chelsea","1011","1905"
"Harrow","1011","1890"
"Solihull","1011","1885"
"Middlesbrough UA","1011","1880"
"Hounslow","1011","1865"
"Calderdale","1011","1805"
"York UA","1011","1775"
"Blackpool UA","1011","1770"
"Blackburn with Darwen UA","1011","1760"
"Tower Hamlets","1011","1720"
"Redcar and Cleveland UA","1011","1660"
"Wandsworth","1011","1645"
"Bedford UA","1011","1635"
"Merton","1011","1625"
"Richmond upon Thames","1011","1585"
"Slough UA","1011","1555"
"Wokingham UA","1011","1545"
"West Berkshire UA","1011","1435"
"Halton UA","1011","1430"
"Hartlepool UA","1011","1355"
"Lewisham","1011","1335"
"Hammersmith and Fulham","1011","1310"
"Hackney","1011","1290"
"Darlington UA","1011","1205"
"Windsor and Maidenhead UA","1011","1180"
"Barking and Dagenham","1011","1130"
"Sutton","1011","1120"
"Milton Keynes UA","1011","970"
"Waltham Forest","1011","765"
"Kingston upon Thames","1011","730"
"Rutland UA","1011","690"
"Isle of Wight UA","1011","600"
"Thurrock UA","1011","590"
"City of London","1011","85"
"Isles of Scilly","1011","55"
"Walsall","1011","20"
"Cornwall","1011","0"
"Lincolnshire","1011","0"
"Kent","1112","27116"
"Essex","1112","20530"
"Birmingham","1112","16708"
"Hampshire","1112","16350"
"Devon","1112","14160"
"Norfolk","1112","14090"
"Hertfordshire","1112","13396"
"Cornwall","1112","13150"
"Wiltshire","1112","10823"
"Staffordshire","1112","10474"
"Surrey","1112","9366"
"Gloucestershire","1112","9123"
"Lincolnshire","1112","8969"
"Lancashire","1112","8676"
"Durham","1112","7799"
"Suffolk","1112","7723"
"East Sussex","1112","7560"
"Northamptonshire","1112","7474"
"Oxfordshire","1112","7395"
"Leeds","1112","7317"
"Dorset","1112","7196"
"West Sussex","1112","7136"
"Nottinghamshire","1112","6949"
"Liverpool","1112","6497"
"North Yorkshire","1112","6094"
"Bristol UA","1112","5801"
"Cumbria","1112","5716"
"Tameside","1112","5578"
"Cheshire East UA","1112","5047"
"Rotherham","1112","4987"
"Sunderland","1112","4984"
"Cambridgeshire","1112","4926"
"Sheffield","1112","4792"
"Leicestershire","1112","4749"
"Somerset","1112","4655"
"East Riding of Yorkshire UA","1112","4635"
"Coventry","1112","4615"
"Northumberland","1112","4553"
"Worcestershire","1112","4503"
"Bradford","1112","4388"
"Manchester","1112","4349"
"Shropshire","1112","4318"
"Bury","1112","4311"
"Derbyshire","1112","4252"
"Sandwell","1112","4199"
"Brent","1112","4165"
"Stoke-on-Trent UA","1112","4156"
"Dudley","1112","4150"
"Trafford","1112","3972"
"Swindon UA","1112","3832"
"Wirral","1112","3658"
"Southampton UA","1112","3631"
"Nottingham UA","1112","3611"
"Kingston upon Hull UA","1112","3587"
"Warwickshire","1112","3498"
"Southwark","1112","3467"
"Lambeth","1112","3307"
"Cheshire West and Chester UA","1112","3286"
"Bath and North East Somerset UA","1112","3213"
"Derby UA","1112","3204"
"Newham","1112","3182"
"North Somerset UA","1112","3139"
"Croydon","1112","3085"
"Ealing","1112","3072"
"Portsmouth UA","1112","3030"
"Leicester UA","1112","3005"
"Havering","1112","2943"
"Sefton","1112","2942"
"Wigan","1112","2922"
"Stockport","1112","2864"
"Kirklees","1112","2862"
"Newcastle upon Tyne","1112","2833"
"Hillingdon","1112","2792"
"Stockton-on-Tees UA","1112","2777"
"Greenwich","1112","2715"
"Medway Towns UA","1112","2702"
"Wakefield","1112","2665"
"North East Lincolnshire UA","1112","2638"
"Rochdale","1112","2636"
"Plymouth UA","1112","2629"
"Walsall","1112","2604"
"Camden","1112","2590"
"Blackpool UA","1112","2510"
"Enfield","1112","2509"
"Doncaster","1112","2485"
"Salford","1112","2453"
"Bromley","1112","2447"
"Barnet","1112","2444"
"Warrington UA","1112","2444"
"Gateshead","1112","2396"
"South Tyneside","1112","2383"
"St. Helens","1112","2380"
"Telford and the Wrekin UA","1112","2362"
"Islington","1112","2254"
"Bournemouth UA","1112","2190"
"Herefordshire UA","1112","2181"
"Central Bedfordshire UA","1112","2173"
"Buckinghamshire","1112","2138"
"Peterborough UA","1112","2126"
"Wolverhampton","1112","2117"
"Southend-on-Sea UA","1112","2098"
"North Lincolnshire UA","1112","2097"
"Knowsley","1112","2078"
"Westminster","1112","2069"
"Brighton and Hove UA","1112","2056"
"Barnsley","1112","2039"
"Torbay UA","1112","2013"
"North Tyneside","1112","1980"
"Redbridge","1112","1967"
"Luton UA","1112","1954"
"Lewisham","1112","1928"
"Reading UA","1112","1871"
"Kensington and Chelsea","1112","1835"
"Oldham","1112","1803"
"Poole UA","1112","1732"
"Blackburn with Darwen UA","1112","1722"
"Redcar and Cleveland UA","1112","1678"
"Merton","1112","1605"
"West Berkshire UA","1112","1600"
"Bexley","1112","1599"
"South Gloucestershire UA","1112","1581"
"York UA","1112","1576"
"Solihull","1112","1548"
"Wandsworth","1112","1544"
"Middlesbrough UA","1112","1512"
"Slough UA","1112","1511"
"Waltham Forest","1112","1474"
"Tower Hamlets","1112","1446"
"Darlington UA","1112","1437"
"Haringey","1112","1412"
"Bedford UA","1112","1411"
"Hackney","1112","1375"
"Calderdale","1112","1347"
"Hounslow","1112","1332"
"Bracknell Forest UA","1112","1323"
"Halton UA","1112","1304"
"Hartlepool UA","1112","1294"
"Harrow","1112","1233"
"Hammersmith and Fulham","1112","1232"
"Wokingham UA","1112","1185"
"Bolton","1112","1130"
"Milton Keynes UA","1112","1026"
"Barking and Dagenham","1112","1020"
"Sutton","1112","885"
"Windsor and Maidenhead UA","1112","881"
"Kingston upon Thames","1112","837"
"Isle of Wight UA","1112","804"
"Richmond upon Thames","1112","734"
"Thurrock UA","1112","698"
"Rutland UA","1112","651"
"City of London","1112","76"
"Isles of Scilly","1112","25"
"Hampshire","1213","28015"
"Kent","1213","27100"
"Essex","1213","17315"
"Norfolk","1213","15595"
"Birmingham","1213","15150"
"Devon","1213","15055"
"Hertfordshire","1213","13190"
"Cornwall","1213","11470"
"Lincolnshire","1213","10350"
"Staffordshire","1213","10055"
"Wiltshire","1213","9305"
"Manchester","1213","8880"
"Northamptonshire","1213","8410"
"Durham","1213","8255"
"Gloucestershire","1213","8000"
"Lancashire","1213","7750"
"East Sussex","1213","7565"
"Leeds","1213","7515"
"Surrey","1213","7515"
"Nottinghamshire","1213","7255"
"Oxfordshire","1213","7190"
"Liverpool","1213","6705"
"Leicestershire","1213","6200"
"Cumbria","1213","5990"
"Derbyshire","1213","5900"
"West Sussex","1213","5755"
"Worcestershire","1213","5735"
"North Yorkshire","1213","5725"
"Warwickshire","1213","5375"
"Tameside","1213","5355"
"Sheffield","1213","5060"
"Cheshire East","1213","4975"
"Cambridgeshire","1213","4790"
"Somerset","1213","4710"
"Coventry","1213","4680"
"Rotherham","1213","4635"
"Northumberland","1213","4455"
"Suffolk","1213","4350"
"Dorset","1213","4340"
"Stoke-on-Trent","1213","4305"
"Swindon","1213","4110"
"Southwark","1213","4090"
"Bromley","1213","3935"
"East Riding of Yorkshire","1213","3930"
"Southampton","1213","3895"
"Leicester","1213","3765"
"Newham","1213","3760"
"Sunderland","1213","3750"
"Nottingham","1213","3540"
"Kirklees","1213","3465"
"Lambeth","1213","3220"
"Portsmouth","1213","3150"
"Havering","1213","3120"
"Bath and North East Somerset","1213","3105"
"Cheshire West and Chester","1213","3070"
"Stockport","1213","3065"
"Bexley","1213","3050"
"Bradford","1213","3035"
"Kingston upon Hull","1213","3025"
"Wigan","1213","2995"
"Medway Towns","1213","2910"
"Wirral","1213","2880"
"North Somerset","1213","2860"
"St. Helens","1213","2855"
"Bury","1213","2845"
"Derby","1213","2810"
"Bristol","1213","2800"
"Camden","1213","2800"
"Wolverhampton","1213","2780"
"Ealing","1213","2775"
"Islington","1213","2730"
"Telford and the Wrekin","1213","2700"
"Greenwich","1213","2655"
"Sefton","1213","2635"
"Redbridge","1213","2610"
"Doncaster","1213","2595"
"Newcastle upon Tyne","1213","2475"
"Salford","1213","2450"
"Hillingdon","1213","2445"
"Barnet","1213","2420"
"Stockton-on-Tees","1213","2400"
"Rochdale","1213","2395"
"Enfield","1213","2390"
"Shropshire","1213","2370"
"Luton","1213","2360"
"Bournemouth","1213","2330"
"Knowsley","1213","2315"
"Southend-on-Sea","1213","2275"
"Central Bedfordshire","1213","2270"
"Wakefield","1213","2250"
"South Tyneside","1213","2245"
"Tower Hamlets","1213","2230"
"Sutton","1213","2220"
"Gateshead","1213","2180"
"Westminster","1213","2145"
"Peterborough","1213","2110"
"Trafford","1213","2105"
"Torbay","1213","2085"
"Plymouth","1213","2080"
"South Gloucestershire","1213","2075"
"Warrington","1213","2040"
"Buckinghamshire","1213","2035"
"North Lincolnshire","1213","2025"
"Croydon","1213","2005"
"Kensington and Chelsea","1213","1955"
"Bolton","1213","1900"
"Brighton and Hove","1213","1860"
"Lewisham","1213","1860"
"Milton Keynes","1213","1785"
